Parameter Name                 Value
m0                             5.423943512141705e-03
m0                             6.818431429564953e-03
m0                             6.758094765245914e-03
m0                             5.843070801347494e-03
m0                             5.893050692975521e-03
m0                             5.828482098877430e-03
m0                             5.848127882927656e-03
m0                             5.615293048322201e-03
m0                             6.630245596170425e-03
m0                             4.190467298030853e-03
m0                             2.220616675913334e-03
m0                             -4.522917442955077e-04
m0                             -3.649619407951832e-03
m0                             -2.761856012511998e-04
m0                             8.667890797369182e-04
m0                             4.303811583667994e-03
m0                             3.964377567172050e-03
m0                             5.138143431395292e-03
m0                             6.399318575859070e-03
m0                             4.328592214733362e-03
m0                             8.393691852688789e-03
m0                             4.860544111579657e-03
m0                             1.061182282865047e-02
m0                             2.956307260319591e-03
m0                             1.078859809786081e-02
m0                             1.996143255382776e-03
m0                             7.162285503000021e-03
m0                             6.827865727245808e-03
m0                             4.853098187595606e-03
m0                             6.288661621510983e-03
m0                             3.195381024852395e-03
m0                             6.915169768035412e-03
m0                             3.611467080190778e-03
m0                             2.844795584678650e-03
m0                             8.321836590766907e-03
m0                             -7.583566475659609e-04
m0                             1.324882358312607e-02
m0                             -2.143209101632237e-03
m0                             1.121530123054981e-02
m0                             3.772289725020528e-03
m0                             2.674115356057882e-03
m0                             4.322063177824020e-03
m0                             2.284728223457932e-03
m0                             6.294599734246731e-03
m0                             3.070618025958538e-03
m0                             7.053297478705645e-03
m0                             2.359956735745072e-03
m0                             3.713217563927174e-03
m0                             6.372792646288872e-03
m0                             3.461359534412622e-03
m0                             4.871453624218702e-03
m0                             4.051131661981344e-03
m0                             1.808758708648384e-03
m0                             3.276472678408027e-03
m0                             2.901497296988964e-03
m0                             5.764066241681576e-03
m0                             2.421804936602712e-03
m0                             5.793001619167626e-04
m0                             3.599945222958922e-03
m0                             1.862269709818065e-03
m0                             1.718662097118795e-03
m0                             5.056116729974747e-03
m0                             -2.202067757025361e-03
m0                             5.770133808255196e-03
m0                             9.876528056338429e-04
m0                             1.587667735293508e-03
m0                             3.248005872592330e-03
m0                             9.006735635921359e-04
m0                             3.454871010035276e-03
m0                             -4.975877818651497e-04
m0                             8.834580075927079e-04
m0                             2.964274026453495e-03
m0                             -2.211628947407007e-03
m0                             5.578532000072300e-04
m0                             3.144388785585761e-03
m0                             -2.081475453451276e-03
m0                             3.689787583425641e-03
m0                             9.995137806981802e-04
m0                             2.302421722561121e-03
m0                             1.617802074179053e-03
m0                             2.913094358518720e-03
m0                             5.156461847946048e-04
m0                             1.623220276087523e-03
m0                             -1.190543407574296e-03
m0                             8.536754176020622e-04
m0                             -1.261814613826573e-03
m0                             -2.162050805054605e-04
m0                             1.346808858215809e-05
m0                             5.473719211295247e-04
m0                             3.721705870702863e-04
m0                             3.481513122096658e-03
m0                             2.329819137230515e-03
m0                             3.402389120310545e-03
m0                             3.021772485226393e-03
m0                             3.887959755957127e-03
m0                             3.377413609996438e-03
m0                             4.006245173513889e-03
m0                             4.466049838811159e-03
m0                             6.357755977660418e-03
m0                             7.308410946279764e-03
m0                             7.957149296998978e-03
m0                             7.766567636281252e-03
m0                             9.266353212296963e-03
m0                             8.331748656928539e-03
m0                             9.622515179216862e-03
m0                             8.840290829539299e-03
m0                             1.006899867206812e-02
m0                             9.558492340147495e-03
m0                             1.035220455378294e-02
m0                             9.829023852944374e-03
m0                             1.019302755594254e-02
m0                             1.091995276510715e-02
m0                             1.047401688992977e-02
m0                             1.093157287687063e-02
m0                             1.077393535524607e-02
m0                             1.006128918379545e-02
m0                             8.728150278329849e-03
m0                             7.831962779164314e-03
m0                             7.586785592138767e-03
m0                             7.259511388838291e-03
m0                             6.917689461261034e-03
m0                             6.608456373214722e-03
m0                             6.295897066593170e-03
