Parameter Name                 Value
m0                             3.231517272070050e-03
m0                             4.672791343182325e-03
m0                             3.861576784402132e-03
m0                             4.796595778316259e-03
m0                             4.975072573870420e-03
m0                             5.608420819044113e-03
m0                             6.392279639840126e-03
m0                             6.898292340338230e-03
m0                             1.027969177812338e-02
m0                             1.315224822610617e-02
m0                             1.170888263732195e-02
m0                             9.011987713165581e-04
m0                             -3.621598705649376e-03
m0                             1.828870037570596e-03
m0                             1.808500848710537e-03
m0                             -1.221340382471681e-03
m0                             -1.221340382471681e-03
m0                             4.718345589935780e-03
m0                             -5.892575252801180e-03
m0                             -5.892575252801180e-03
m0                             -3.179353429004550e-03
m0                             1.551026571542025e-02
m0                             -2.027478441596031e-02
m0                             -1.031404919922352e-02
m0                             3.843983635306358e-03
m0                             3.628743346780539e-03
m0                             9.048042818903923e-03
m0                             1.609377190470695e-02
m0                             8.414094336330891e-03
m0                             1.030252594500780e-02
m0                             4.147300962358713e-03
m0                             -1.957903295988217e-04
m0                             -2.737554954364896e-03
m0                             -5.134657490998507e-03
m0                             -7.006264757364988e-03
m0                             -5.535861477255821e-03
m0                             -3.031448228284717e-03
m0                             8.334019221365452e-03
m0                             -2.485637320205569e-03
m0                             -1.880535040982068e-03
m0                             -2.203047974035144e-03
m0                             2.743182471022010e-03
m0                             4.726339597254992e-03
m0                             2.530915429815650e-03
m0                             7.661613635718822e-03
m0                             -3.034078050404787e-03
m0                             2.604484744369984e-02
m0                             1.570280641317368e-02
m0                             -1.098257489502430e-03
m0                             -1.467926194891334e-03
m0                             8.180879522114992e-04
m0                             4.195455461740494e-03
m0                             -2.348288428038359e-03
m0                             1.170618561445735e-04
m0                             -7.660717237740755e-03
m0                             5.809520371258259e-03
m0                             3.867365187034011e-03
m0                             7.204986759461462e-04
m0                             2.317907754331827e-03
m0                             -5.336024332791567e-03
m0                             -2.839441178366542e-03
m0                             -6.433370523154736e-03
m0                             7.809540838934481e-04
m0                             7.070146035403013e-03
m0                             1.732955570332706e-03
m0                             8.373967371881008e-03
m0                             9.348499588668346e-03
m0                             -3.642367897555232e-03
m0                             7.594689261168242e-03
m0                             -1.171428128145635e-03
m0                             -1.412972807884216e-03
m0                             3.138210158795118e-03
m0                             4.701287019997835e-03
m0                             -1.476098783314228e-03
m0                             7.263285224325955e-04
m0                             1.885438221506774e-03
m0                             -9.778654202818871e-03
m0                             4.833267536014318e-03
m0                             -4.231859929859638e-03
m0                             -1.909823331516236e-04
m0                             8.310310542583466e-03
m0                             9.489581861998886e-05
m0                             1.615104964002967e-03
m0                             -2.120340475812554e-03
m0                             2.073825336992741e-03
m0                             -3.498807549476624e-03
m0                             2.125422906829044e-04
m0                             -2.749264007434249e-03
m0                             2.064296713797376e-04
m0                             -1.584033132530749e-03
m0                             3.241595113649964e-03
m0                             2.298600040376186e-03
m0                             3.206648398190737e-03
m0                             3.925373777747154e-03
m0                             2.720715943723917e-03
m0                             3.235805546864867e-03
m0                             -4.969550645910203e-04
m0                             5.626461934298277e-03
m0                             -4.142470716033131e-04
m0                             1.326025649905205e-02
m0                             -2.754946181084961e-04
m0                             9.416551329195499e-03
m0                             2.166457008570433e-03
m0                             1.036421209573746e-02
m0                             6.584544666111469e-03
m0                             7.412219420075417e-03
m0                             5.312063731253147e-03
m0                             9.319681674242020e-03
m0                             3.774601034820080e-03
m0                             4.301346372812986e-03
m0                             8.324802853167057e-03
m0                             7.520813029259443e-03
m0                             2.183018950745463e-03
m0                             7.368208374828100e-03
m0                             1.400932669639587e-02
m0                             9.569295682013035e-03
m0                             9.226383641362190e-03
m0                             8.516100235283375e-03
m0                             8.008029311895370e-03
m0                             7.615982089191675e-03
m0                             6.899284198880196e-03
m0                             6.399349309504032e-03
m0                             5.769459065049887e-03
m0                             4.994418937712908e-03
m0                             4.541080910712481e-03
m0                             4.494997672736645e-03
m0                             3.449165029451251e-03
m0                             4.756077658385038e-03
m0                             4.049679264426231e-03
m0                             4.896627739071846e-03
m0                             5.093804094940424e-03
m0                             5.710382014513016e-03
m0                             6.408915854990482e-03
m0                             7.704542018473148e-03
m0                             1.008047256618738e-02
m0                             1.580213569104671e-02
m0                             -8.638442377559841e-04
m0                             -2.038560993969440e-02
m0                             -5.297855287790298e-02
m0                             -2.365382388234138e-02
m0                             -2.377852238714695e-02
m0                             -4.083050787448883e-02
m0                             -4.117742925882339e-02
