Parameter Name                 Value
m0                             7.553531322628260e-03
m0                             9.481270797550678e-03
m0                             8.699130266904831e-03
m0                             8.294990286231041e-03
m0                             8.125559426844120e-03
m0                             8.037986233830452e-03
m0                             8.011168800294399e-03
m0                             7.812380790710449e-03
m0                             8.200758136808872e-03
m0                             6.535223685204983e-03
m0                             2.468777354806662e-03
m0                             9.218147024512291e-04
m0                             6.860320572741330e-04
m0                             -7.912023575045168e-04
m0                             1.574162975884974e-03
m0                             1.583214965648949e-03
m0                             4.587440285831690e-03
m0                             2.672829199582338e-03
m0                             8.130245842039585e-03
m0                             8.403858169913292e-03
m0                             1.012286636978388e-02
m0                             7.491754833608866e-03
m0                             8.801824413239956e-03
m0                             7.993597537279129e-03
m0                             8.618405088782310e-03
m0                             8.734498172998428e-03
m0                             8.368404582142830e-03
m0                             9.510144591331482e-03
m0                             8.405877277255058e-03
m0                             8.688094094395638e-03
m0                             6.836797110736370e-03
m0                             8.178315125405788e-03
m0                             5.740518216043711e-03
m0                             6.094012409448624e-03
m0                             6.251823622733355e-03
m0                             7.844096980988979e-03
m0                             5.957685876637697e-03
m0                             7.402494084089994e-03
m0                             5.648528691381216e-03
m0                             6.077692843973637e-03
m0                             5.473139230161905e-03
m0                             3.952327184379101e-03
m0                             4.456559661775827e-03
m0                             4.168826155364513e-03
m0                             4.174939356744289e-03
m0                             5.982778500765562e-03
m0                             2.462028991430998e-03
m0                             5.335205234587193e-03
m0                             3.873004810884595e-03
m0                             4.769157152622938e-03
m0                             5.498155485838652e-03
m0                             3.874090733006597e-03
m0                             3.574522444978356e-03
m0                             3.490309696644545e-03
m0                             5.986883770674467e-03
m0                             5.386946722865105e-03
m0                             3.784363856539130e-03
m0                             3.170004114508629e-03
m0                             3.393257502466440e-03
m0                             2.746962476521730e-03
m0                             3.448214149102569e-03
m0                             4.978378303349018e-03
m0                             2.213052473962307e-03
m0                             5.678307265043259e-03
m0                             2.898048609495163e-03
m0                             3.085600445047021e-03
m0                             1.721533364616334e-03
m0                             3.379453206434846e-03
m0                             -1.338828355073929e-03
m0                             1.434120349586010e-03
m0                             2.893571276217699e-03
m0                             2.892274409532547e-03
m0                             -1.074153697118163e-03
m0                             7.634089328348637e-03
m0                             3.410989884287119e-03
m0                             4.288577474653721e-03
m0                             2.294631674885750e-03
m0                             6.274372339248657e-03
m0                             2.534317318350077e-03
m0                             3.766787936910987e-03
m0                             1.386697869747877e-03
m0                             -4.752690801979043e-05
m0                             2.615682547912002e-03
m0                             -5.582032608799636e-04
m0                             -1.341832219623029e-03
m0                             -1.871328917331994e-03
m0                             -9.349208557978272e-04
m0                             2.727278842939995e-05
m0                             3.108255914412439e-04
m0                             -2.035265351878479e-04
m0                             4.150384571403265e-03
m0                             3.395270323380828e-03
m0                             3.627670230343938e-03
m0                             5.288978107273579e-03
m0                             4.818466957658529e-03
m0                             6.034327670931816e-03
m0                             6.722965743392706e-03
m0                             8.234772831201553e-03
m0                             9.419472888112068e-03
m0                             1.109064463526011e-02
m0                             1.151014771312475e-02
m0                             1.181243825703859e-02
m0                             1.239488273859024e-02
m0                             1.223300304263830e-02
m0                             1.219934970140457e-02
m0                             1.190658099949360e-02
m0                             1.194514613598585e-02
m0                             1.146975997835398e-02
m0                             1.134364772588015e-02
m0                             1.070211082696915e-02
m0                             1.050297077745199e-02
m0                             1.049114856868982e-02
m0                             1.001862622797489e-02
m0                             9.769666008651257e-03
m0                             9.314264170825481e-03
m0                             8.043562062084675e-03
m0                             6.649715360254049e-03
m0                             5.602783523499966e-03
m0                             5.365421064198017e-03
m0                             5.104895681142807e-03
m0                             4.952517338097095e-03
m0                             4.810035694390535e-03
m0                             4.709545988589525e-03
m0                             4.537292756140232e-03
m0                             4.476634785532951e-03
m0                             4.458065144717693e-03
m0                             7.786094676703215e-03
m0                             9.322090074419975e-03
m0                             8.837918750941753e-03
m0                             8.303660899400711e-03
m0                             8.169381879270077e-03
m0                             8.057681843638420e-03
m0                             8.081711828708649e-03
m0                             7.876270450651646e-03
m0                             8.415463380515575e-03
m0                             6.920793093740940e-03
m0                             1.282654330134392e-02
m0                             4.524265881627798e-03
m0                             -9.003632701933384e-03
m0                             -2.253009751439095e-02
m0                             -2.511900849640369e-02
m0                             -4.233879502862692e-03
m0                             -3.286385536193848e-02
m0                             1.226924452930689e-02
m0                             -7.693853229284286e-02
m0                             -7.386117428541183e-02
m0                             -1.462616175413132e-01
m0                             2.231360226869583e-02
m0                             -7.267141342163086e-02
m0                             -3.961566463112831e-02
m0                             -4.963616281747818e-02
m0                             -5.459333956241608e-02
m0                             -4.219302535057068e-02
m0                             -6.836666166782379e-02
m0                             -4.127073287963867e-02
m0                             -2.023870125412941e-02
m0                             -3.136230260133743e-02
m0                             -7.677349448204041e-02
m0                             -3.171875327825546e-02
m0                             -4.653212800621986e-02
m0                             -5.041056778281927e-03
m0                             -3.476850315928459e-02
m0                             -2.271099016070366e-02
m0                             -3.936064988374710e-02
m0                             -2.934202551841736e-02
m0                             -3.373935446143150e-02
m0                             -2.130091935396194e-02
m0                             -2.972419559955597e-02
m0                             -1.817951537668705e-02
m0                             -2.915159426629543e-02
m0                             -5.154245533049107e-03
m0                             -2.201506309211254e-02
m0                             -1.339415647089481e-02
m0                             -1.410094089806080e-02
m0                             -2.260092273354530e-02
m0                             -8.351978845894337e-03
m0                             -2.875414863228798e-02
m0                             -1.440142374485731e-02
m0                             -2.424477040767670e-02
m0                             -2.141664177179337e-02
m0                             -2.692773751914501e-02
m0                             -1.631873473525047e-02
m0                             -1.788187772035599e-02
m0                             -1.031962875276804e-02
m0                             -1.144994609057903e-02
m0                             -1.951561309397221e-02
m0                             -1.728171110153198e-02
m0                             -1.475845091044903e-02
m0                             -1.427173148840666e-02
m0                             -1.625416986644268e-02
m0                             -1.659719645977020e-02
m0                             -1.489496883004904e-02
m0                             -1.730067096650600e-02
m0                             -1.475116889923811e-02
m0                             -1.540257968008518e-02
m0                             -1.178048271685839e-02
m0                             -1.173174194991589e-02
m0                             -8.901469409465790e-03
m0                             -1.229686010628939e-02
m0                             -1.209643017500639e-02
m0                             -1.544839330017567e-02
m0                             -1.378647889941931e-02
m0                             -1.070623006671667e-02
m0                             -2.209564670920372e-03
m0                             -9.191117249429226e-03
m0                             -8.458462543785572e-03
m0                             -1.132771838456392e-02
m0                             -9.220478124916553e-03
m0                             -2.714470028877258e-03
m0                             -7.111470215022564e-03
m0                             -8.419393561780453e-03
m0                             -1.056775264441967e-02
m0                             -6.923255044966936e-03
m0                             -6.939012091606855e-03
m0                             -6.061010062694550e-03
m0                             -7.615091279149055e-03
m0                             -3.260106022935361e-04
m0                             -1.177235972136259e-03
m0                             -9.553114068694413e-04
m0                             2.150478539988399e-03
m0                             1.241555553860962e-03
m0                             3.241033758968115e-03
m0                             4.317321814596653e-03
m0                             6.613480858504772e-03
m0                             8.919937536120415e-03
m0                             1.022696774452925e-02
m0                             1.115668937563896e-02
m0                             1.142320968210697e-02
m0                             1.280689798295498e-02
m0                             1.260055787861347e-02
m0                             1.243106275796890e-02
m0                             1.229434181004763e-02
m0                             1.199731137603521e-02
m0                             1.161801815032959e-02
m0                             1.129386574029922e-02
m0                             1.079723145812750e-02
m0                             1.056093070656061e-02
m0                             1.048132404685020e-02
m0                             9.990536607801914e-03
m0                             9.834473021328449e-03
m0                             9.284121915698051e-03
m0                             8.056945167481899e-03
m0                             6.635026074945927e-03
m0                             5.609825253486633e-03
m0                             5.377398803830147e-03
m0                             5.095903761684895e-03
m0                             4.956040997058153e-03
m0                             4.806269891560078e-03
m0                             4.713028203696012e-03
m0                             4.541397560387850e-03
m0                             4.475069697946310e-03
m0                             4.460204392671585e-03
m0                             7.767531555145979e-03
m0                             9.311567991971970e-03
m0                             8.953401818871498e-03
m0                             8.311067707836628e-03
m0                             8.113160729408264e-03
m0                             7.962767034769058e-03
m0                             7.728394586592913e-03
m0                             8.383687585592270e-03
m0                             7.148003205657005e-03
m0                             1.188953686505556e-02
m0                             -3.828297555446625e-02
m0                             -3.836332261562347e-02
m0                             2.963306009769440e-02
m0                             5.446729063987732e-02
m0                             5.757683888077736e-02
m0                             1.968191005289555e-02
m0                             1.126117259263992e-01
m0                             2.938019298017025e-02
m0                             7.271277159452438e-02
m0                             1.215265765786171e-01
m0                             1.515364050865173e-01
m0                             -4.525142908096313e-02
m0                             1.100282147526741e-01
m0                             8.995717018842697e-02
m0                             1.685475707054138e-01
m0                             1.645644456148148e-01
m0                             1.399491727352142e-01
m0                             2.045090198516846e-01
m0                             1.400401592254639e-01
m0                             1.278504580259323e-01
m0                             8.460918068885803e-02
m0                             1.562599986791611e-01
m0                             8.427289873361588e-02
m0                             1.445700079202652e-01
m0                             8.580014109611511e-02
m0                             1.042265743017197e-01
m0                             7.993853837251663e-02
m0                             9.944725036621094e-02
m0                             7.770292460918427e-02
m0                             7.925872504711151e-02
m0                             7.726675271987915e-02
m0                             1.000427231192589e-01
m0                             9.515120089054108e-02
m0                             9.968175739049911e-02
m0                             6.501065939664841e-02
m0                             8.696857094764709e-02
m0                             5.909140408039093e-02
m0                             6.858725100755692e-02
m0                             7.222419977188110e-02
m0                             6.469833850860596e-02
m0                             7.618357241153717e-02
m0                             5.766316875815392e-02
m0                             6.811827421188354e-02
m0                             7.062482088804245e-02
m0                             5.292930826544762e-02
m0                             3.327338397502899e-02
m0                             3.951257467269897e-02
m0                             4.879404976963997e-02
m0                             6.108754873275757e-02
m0                             6.677575409412384e-02
m0                             6.205555796623230e-02
m0                             6.106035038828850e-02
m0                             5.838285014033318e-02
m0                             5.925767868757248e-02
m0                             5.510495975613594e-02
m0                             5.288548767566681e-02
m0                             5.148298665881157e-02
m0                             4.736378416419029e-02
m0                             4.708842188119888e-02
m0                             4.342773184180260e-02
m0                             4.265972226858139e-02
m0                             4.310313984751701e-02
m0                             4.041290655732155e-02
m0                             3.749975189566612e-02
m0                             3.969901427626610e-02
m0                             3.794121369719505e-02
m0                             3.409047424793243e-02
m0                             2.796845883131027e-02
m0                             2.850593253970146e-02
m0                             3.146012499928474e-02
m0                             3.120625205338001e-02
m0                             2.195473015308380e-02
m0                             1.441258657723665e-02
m0                             1.581715606153011e-02
m0                             1.971290260553360e-02
m0                             2.447276748716831e-02
m0                             2.013372443616390e-02
m0                             2.376152575016022e-02
m0                             2.379669435322285e-02
m0                             2.436218038201332e-02
m0                             2.429655380547047e-02
m0                             2.249321155250072e-02
m0                             2.221207879483700e-02
m0                             2.084320224821568e-02
m0                             2.172817662358284e-02
m0                             2.063841372728348e-02
m0                             1.901527307927608e-02
m0                             1.680718734860420e-02
m0                             1.365527417510748e-02
m0                             1.566458120942116e-02
m0                             1.535286288708448e-02
m0                             1.416995190083981e-02
m0                             1.262893248349428e-02
m0                             1.207614503800869e-02
m0                             1.246613636612892e-02
m0                             1.197129487991333e-02
m0                             1.276827696710825e-02
m0                             1.217703614383936e-02
m0                             1.208046358078718e-02
m0                             1.119994837790728e-02
m0                             1.098237466067076e-02
m0                             1.109708659350872e-02
m0                             1.071795541793108e-02
m0                             9.711674414575100e-03
m0                             9.831433184444904e-03
m0                             8.008946664631367e-03
m0                             6.747386883944273e-03
m0                             5.523326341062784e-03
m0                             5.359942093491554e-03
m0                             5.113734863698483e-03
m0                             4.945696797221899e-03
m0                             4.817259963601828e-03
m0                             4.711578600108624e-03
m0                             4.547262564301491e-03
m0                             4.466567188501358e-03
m0                             4.467890132218599e-03
