Parameter Name                 Value
m0                             7.391368504613638e-03
m0                             9.214674122631550e-03
m0                             8.474919945001602e-03
m0                             8.090788498520851e-03
m0                             7.929851301014423e-03
m0                             7.846051827073097e-03
m0                             7.819955237209797e-03
m0                             7.627952378243208e-03
m0                             7.990043610334396e-03
m0                             6.397981662303209e-03
m0                             2.487260615453124e-03
m0                             9.631962748244405e-04
m0                             6.673358730040491e-04
m0                             -8.327317191287875e-04
m0                             1.370653742924333e-03
m0                             1.380135654471815e-03
m0                             4.224018659442663e-03
m0                             2.459167968481779e-03
m0                             7.695683278143406e-03
m0                             7.954952307045460e-03
m0                             9.607118554413319e-03
m0                             7.137963548302650e-03
m0                             8.376673795282841e-03
m0                             7.561128120869398e-03
m0                             8.151880465447903e-03
m0                             8.273878134787083e-03
m0                             7.920775562524796e-03
m0                             9.015082381665707e-03
m0                             7.955757901072502e-03
m0                             8.236172609031200e-03
m0                             6.501505617052317e-03
m0                             7.773475255817175e-03
m0                             5.473975092172623e-03
m0                             5.819836165755987e-03
m0                             5.956862121820450e-03
m0                             7.452892605215311e-03
m0                             5.693912971764803e-03
m0                             7.036641240119934e-03
m0                             5.398029927164316e-03
m0                             5.792788229882717e-03
m0                             5.226439796388149e-03
m0                             3.774170065298676e-03
m0                             4.265074618160725e-03
m0                             3.928660415112972e-03
m0                             3.951757214963436e-03
m0                             5.704574286937714e-03
m0                             2.319412538781762e-03
m0                             5.115791689604521e-03
m0                             3.688342170789838e-03
m0                             4.617049358785152e-03
m0                             5.207525100558996e-03
m0                             3.722547786310315e-03
m0                             3.416557097807527e-03
m0                             3.313853871077299e-03
m0                             5.672276020050049e-03
m0                             5.115845240652561e-03
m0                             3.620007773861289e-03
m0                             3.061230527237058e-03
m0                             3.313795663416386e-03
m0                             2.578023122623563e-03
m0                             3.216191893443465e-03
m0                             4.691509529948235e-03
m0                             2.116841264069080e-03
m0                             5.432199221104383e-03
m0                             2.736046677455306e-03
m0                             2.903289627283812e-03
m0                             1.643284573219717e-03
m0                             3.194149350747466e-03
m0                             -1.196108176372945e-03
