# CREATED_DATE: 2020-11-04T13:20:33.003Z
# MODIFIED_DATE: 2022-03-15T23:27:22.207Z
# STATUS: NeedsTemplate
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: WISEA J230100.68+405434.7; (23:01:00.67, +40:54:34.49)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020yvu
# RA: 345.249425
# DEC: 40.9106138888889
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-11-04T08:49:55.200Z
# REDSHIFT: 0.01
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-11-02T05:44:36Z
# NON_DETECT_LIMIT: 20.0308
# MW_EBV: 0.096
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2020yvu
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [32, 47, 62, 77]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59157.163  g-ZTF  1997.588  199.461  19.249  0.108  None  P48  ZTF-Cam  None
OBS:      59157.247  r-ZTF  2642.061  242.245  18.945  0.100  None  P48  ZTF-Cam  None
OBS:      59164.181  r-ZTF  36047.475  1213.708  16.108  0.037  None  P48  ZTF-Cam  None
OBS:      59164.237  g-ZTF  37646.781  1036.528  16.061  0.030  None  P48  ZTF-Cam  None
OBS:      59167.202  r-ZTF  51843.124  1707.578  15.713  0.036  None  P48  ZTF-Cam  None
OBS:      59169.199  r-ZTF  58247.781  1508.655  15.587  0.028  None  P48  ZTF-Cam  None
OBS:      59169.221  g-ZTF  64132.162  1678.130  15.482  0.028  None  P48  ZTF-Cam  None
OBS:      59171.178  g-ZTF  71130.918  2276.193  15.370  0.035  None  P48  ZTF-Cam  None
OBS:      59173.123  r-ZTF  66925.094  1984.026  15.436  0.032  None  P48  ZTF-Cam  None
OBS:      59173.248  g-ZTF  72244.232  1314.956  15.353  0.020  None  P48  ZTF-Cam  None
OBS:      59175.152  r-ZTF  67827.056  2503.221  15.421  0.040  None  P48  ZTF-Cam  None
OBS:      59175.243  g-ZTF  72330.203  2355.463  15.352  0.035  None  P48  ZTF-Cam  None
OBS:      59178.138  g-ZTF  67782.091  1522.797  15.422  0.024  None  P48  ZTF-Cam  None
OBS:      59180.154  g-ZTF  64010.264  1647.933  15.484  0.028  None  P48  ZTF-Cam  None
OBS:      59180.200  r-ZTF  59080.366  1539.642  15.571  0.028  None  P48  ZTF-Cam  None
OBS:      59182.099  r-ZTF  54169.583  1385.899  15.666  0.028  None  P48  ZTF-Cam  None
OBS:      59182.136  g-ZTF  57710.810  1099.291  15.597  0.021  None  P48  ZTF-Cam  None
OBS:      59184.114  r-ZTF  47029.683  1059.549  15.819  0.024  None  P48  ZTF-Cam  None
OBS:      59184.177  g-ZTF  51824.593  1910.199  15.714  0.040  None  P48  ZTF-Cam  None
OBS:      59186.122  r-ZTF  40499.292  894.921  15.981  0.024  None  P48  ZTF-Cam  None
OBS:      59186.139  g-ZTF  44982.674  945.161  15.867  0.023  None  P48  ZTF-Cam  None
OBS:      59188.123  r-ZTF  37436.465  1278.503  16.067  0.037  None  P48  ZTF-Cam  None
OBS:      59188.156  g-ZTF  39382.229  1330.945  16.012  0.037  None  P48  ZTF-Cam  None
OBS:      59190.134  r-ZTF  35131.835  1143.918  16.136  0.035  None  P48  ZTF-Cam  None
OBS:      59193.162  g-ZTF  25508.453  767.980  16.483  0.033  None  P48  ZTF-Cam  None
OBS:      59193.290  r-ZTF  32775.281  960.916  16.211  0.032  None  P48  ZTF-Cam  None
OBS:      59195.118  r-ZTF  32212.569  1331.435  16.230  0.045  None  P48  ZTF-Cam  None
OBS:      59195.137  g-ZTF  21935.041  906.079  16.647  0.045  None  P48  ZTF-Cam  None
OBS:      59197.137  g-ZTF  17247.994  1277.280  16.908  0.080  None  P48  ZTF-Cam  None
OBS:      59197.183  r-ZTF  30945.285  1347.050  16.274  0.047  None  P48  ZTF-Cam  None
OBS:      59199.136  r-ZTF  29749.381  908.958  16.316  0.033  None  P48  ZTF-Cam  None
OBS:      59199.175  g-ZTF  15547.136  574.277  17.021  0.040  None  P48  ZTF-Cam  None
OBS:      59202.141  r-ZTF  28385.215  777.865  16.367  0.030  None  P48  ZTF-Cam  None
OBS:      59202.201  g-ZTF  12148.147  461.394  17.289  0.041  None  P48  ZTF-Cam  None
