VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59445.390 r NULL 92.158 64.488 22.589 0.760 0x00
OBS: 59479.380 z NULL 10941.909 159.959 17.402 0.016 0x00
OBS: 59484.230 r NULL 18684.782 184.873 16.821 0.011 0x00
OBS: 59484.240 z NULL 11279.789 238.161 17.369 0.023 0x00
OBS: 59493.220 i NULL 7079.919 141.195 17.875 0.022 0x00
OBS: 59493.220 g NULL 11721.371 141.014 17.328 0.013 0x00
OBS: 59507.290 r NULL 7567.432 127.756 17.803 0.018 0x00
OBS: 59507.290 z NULL 7655.592 166.201 17.790 0.024 0x00
OBS: 59508.300 r NULL 6571.977 122.438 17.956 0.020 0x00
OBS: 59508.300 i NULL 6959.809 146.772 17.894 0.023 0x00
OBS: 59509.330 r NULL 6071.758 182.817 18.042 0.033 0x00
OBS: 59509.330 z NULL 5496.526 252.211 18.150 0.050 0x00
OBS: 59512.290 r NULL 5000.178 142.266 18.253 0.031 0x00
OBS: 59512.290 z NULL 5091.565 232.905 18.233 0.050 0x00
OBS: 59517.260 i NULL 3602.553 109.633 18.608 0.033 0x00
OBS: 59517.270 g NULL 1508.173 78.509 19.554 0.057 0x00
OBS: 59519.280 g NULL 1513.876 48.789 19.550 0.035 0x00
OBS: 59519.280 i NULL 3318.576 87.141 18.698 0.029 0x00
END:
