SURVEY:  PS1MD
SNID:  2023bee
otherID: 
IAUC:    UNKNOWN
RA:        134.0484540  deg
DECL:       -3.3255720  deg
MWEBV:    0.014 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  0.0067 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 60002.0
FILTERS:    grizy
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2023bee.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend04.cluster
# IMSIZE_PIX: 4000
# DIST_FROM_CENTER_DEG: 0.877 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 69
NVAR:   7
VARLIST:  MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR FLAG

OBS: 58814.61 g NULL  19.735 53.452 24.262 2.941 0x00
OBS: 58817.62 g NULL  -22.758 151.914 nan -7.247 0x00
OBS: 59978.55 g NULL  54527.957 361.829 15.658 0.007 0x00
OBS: 59983.40 g NULL  292839.667 581.479 13.833 0.002 0x00
OBS: 60014.31 g NULL  212859.450 823.961 14.180 0.004 0x00
OBS: 60015.31 g NULL  207964.932 482.657 14.205 0.003 0x00
OBS: 60018.33 g NULL  170247.139 476.908 14.422 0.003 0x00
OBS: 60019.33 g NULL  162095.345 471.782 14.476 0.003 0x00
OBS: 60020.31 g NULL  152690.158 444.115 14.540 0.003 0x00
OBS: 60021.30 g NULL  139253.810 459.847 14.640 0.004 0x00
OBS: 60028.29 g NULL  89835.778 425.231 15.116 0.005 0x00
OBS: 60029.25 g NULL  85549.800 305.520 15.169 0.004 0x00
OBS: 60030.29 g NULL  80870.769 343.632 15.231 0.005 0x00
OBS: 60031.30 g NULL  76401.271 316.247 15.292 0.004 0x00
OBS: 60041.26 g NULL  54621.153 315.034 15.657 0.006 0x00
OBS: 58817.63 r NULL  29.095 122.998 23.840 4.590 0x00
OBS: 58829.58 r NULL  54.550 88.779 23.158 1.767 0x00
OBS: 59978.55 r NULL  50089.086 325.187 15.751 0.007 0x00
OBS: 59983.40 r NULL  251279.201 438.938 14.000 0.002 0x00
OBS: 60014.31 r NULL  227725.999 824.672 14.106 0.004 0x00
OBS: 60015.31 r NULL  231064.268 409.358 14.091 0.002 0x01
OBS: 60018.33 r NULL  224099.102 549.797 14.124 0.003 0x00
OBS: 60019.33 r NULL  227768.973 452.938 14.106 0.002 0x00
OBS: 60020.31 r NULL  223214.374 595.173 14.128 0.003 0x00
OBS: 60021.30 r NULL  211413.180 501.721 14.187 0.003 0x00
OBS: 60028.29 r NULL  173476.411 520.748 14.402 0.003 0x00
OBS: 60029.25 r NULL  167216.160 366.024 14.442 0.002 0x00
OBS: 60030.29 r NULL  154873.797 442.416 14.525 0.003 0x00
OBS: 60031.30 r NULL  146230.238 442.696 14.587 0.003 0x00
OBS: 60041.26 r NULL  93915.127 340.243 15.068 0.004 0x00
OBS: 58814.61 i NULL  -4.784 68.533 nan -15.554 0x00
OBS: 59978.55 i NULL  33578.930 332.894 16.185 0.011 0x00
OBS: 59983.40 i NULL  180297.168 420.269 14.360 0.003 0x00
OBS: 60014.31 i NULL  114842.284 532.665 14.850 0.005 0x00
OBS: 60015.31 i NULL  121756.566 330.068 14.786 0.003 0x00
OBS: 60018.33 i NULL  132573.585 510.143 14.694 0.004 0x00
OBS: 60019.33 i NULL  135799.761 382.961 14.668 0.003 0x00
OBS: 60020.32 i NULL  138646.102 566.170 14.645 0.004 0x00
OBS: 60021.30 i NULL  133343.515 387.560 14.688 0.003 0x00
OBS: 60028.29 i NULL  139326.565 478.198 14.640 0.004 0x00
OBS: 60029.25 i NULL  136571.927 357.851 14.662 0.003 0x00
OBS: 60030.29 i NULL  124436.788 425.085 14.763 0.004 0x00
OBS: 60031.30 i NULL  117123.942 389.905 14.828 0.004 0x00
OBS: 60041.26 i NULL  70130.195 311.837 15.385 0.005 0x00
OBS: 58829.58 z NULL  -184.278 89.846 nan -0.529 0x00
OBS: 59978.55 z NULL  41719.328 394.704 15.949 0.010 0x00
OBS: 59983.40 z NULL  165360.347 503.235 14.454 0.003 0x00
OBS: 60014.31 z NULL  173493.377 912.890 14.402 0.006 0x00
