SURVEY:  YSE
SNID:  2021hiz
otherID: 
IAUC:    UNKNOWN
RA:        186.4236500  deg
DECL:       7.2284050  deg
MWEBV:    0.022 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0033 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0050 +- 0.005 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J122541.533+071344.203 
VETTED_PS1_OBJID: 116671864231535215 
VETTED_HOST_GALAXY_STATUS: N 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 44.444 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (186.4273, 7.2166) 
VETTED_HOST_GALAXY_NAME: IC 3322A (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0033 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59320.310
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -17.718
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.108 +- 0.01
PARSNIP_S2: -0.074 +- 0.021
PARSNIP_S3: 1.422 +- 0.016
SUPERRAENN_PRED: SN II
SUPERRAENN_CONF: 64.0
SET_ZTF_FP: 27.500
PEAK_SNR: 784.985
MAX_MJD_GAP(days): 95.262
NOBS_BEFORE_PEAK: 116
NOBS_TO_PEAK: 117
NOBS_AFTER_PEAK: 182
SEARCH_PEAKMAG: 13.051
SEARCH_PEAKFLT: g
PEAKMAG_YSE-r/ZTF-r(Y): 13.177
PEAKFLT_YSE-r/ZTF-r(Y): r
FILTERS: zigYrX
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 0, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021hiz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.872 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 299
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58846.660 r NULL 156.552 84.217 22.013 0.584 0x00
OBS: 58847.660 g NULL 41.377 56.548 23.458 1.484 0x00
OBS: 58850.610 g NULL 142.769 72.497 22.113 0.551 0x00
OBS: 58866.570 g NULL 220.119 81.981 21.643 0.404 0x00
OBS: 58870.580 r NULL 60.737 55.324 23.041 0.989 0x00
OBS: 58873.560 g NULL 66.199 63.353 22.948 1.039 0x00
OBS: 58876.520 r NULL 117.917 63.108 22.321 0.581 0x00
OBS: 58877.580 g NULL 97.589 61.612 22.526 0.685 0x00
OBS: 58878.510 z NULL 221.021 143.595 21.639 0.705 0x00
OBS: 58878.510 g NULL 155.281 74.742 22.022 0.523 0x00
OBS: 58882.500 g NULL 76.981 71.915 22.784 1.014 0x00
OBS: 58930.510 z NULL 336.913 312.588 21.181 1.007 0x00
OBS: 58932.510 g NULL 105.357 73.456 22.443 0.757 0x00
OBS: 58933.510 g NULL 192.836 195.658 21.787 1.102 0x00
OBS: 58950.320 z NULL 211.757 154.063 21.685 0.790 0x00
OBS: 58955.440 i NULL 93.418 83.927 22.574 0.975 0x00
OBS: 58957.430 r NULL 100.529 80.196 22.494 0.866 0x00
OBS: 58960.300 r NULL 92.081 54.253 22.590 0.640 0x00
OBS: 58960.300 g NULL 124.742 54.320 22.260 0.473 0x00
OBS: 58965.420 g NULL 190.590 116.435 21.800 0.663 0x00
OBS: 58967.310 g NULL 81.894 69.992 22.717 0.928 0x00
OBS: 58976.410 i NULL 222.118 172.992 21.634 0.846 0x00
OBS: 58981.410 z NULL 342.370 166.165 21.164 0.527 0x00
OBS: 58981.410 r NULL 71.510 93.312 22.864 1.417 0x00
OBS: 58982.280 g NULL 49.106 60.768 23.272 1.344 0x00
OBS: 59004.300 i NULL 134.576 167.843 22.178 1.354 0x00
OBS: 59007.270 r NULL 82.678 68.461 22.707 0.899 0x00
OBS: 59010.290 i NULL 80.729 62.430 22.732 0.840 0x00
OBS: 59011.290 r NULL 134.631 145.572 22.177 1.174 0x00
OBS: 59013.280 g NULL 121.617 91.435 22.288 0.816 0x00
OBS: 59016.280 r NULL 90.642 64.478 22.607 0.772 0x00
OBS: 59018.310 g NULL 100.206 129.304 22.498 1.401 0x00
OBS: 59020.280 g NULL 219.929 180.181 21.644 0.890 0x00
OBS: 59021.270 z NULL 87.051 110.721 22.651 1.381 0x00
OBS: 59023.280 g NULL 71.253 69.413 22.868 1.058 0x00
OBS: 59032.280 r NULL 151.445 118.465 22.049 0.849 0x00
OBS: 59033.270 r NULL 83.893 103.386 22.691 1.338 0x00
OBS: 59036.280 z NULL 125.893 149.456 22.250 1.289 0x00
OBS: 59042.270 g NULL 146.738 70.152 22.084 0.519 0x00
OBS: 59042.280 r NULL 92.253 62.252 22.588 0.733 0x00
OBS: 59047.280 z NULL 460.019 172.533 20.843 0.407 0x00
OBS: 59047.280 g NULL 101.877 100.513 22.480 1.071 0x00
OBS: 59048.270 g NULL 191.264 96.733 21.796 0.549 0x00
OBS: 59048.270 r NULL 115.324 71.222 22.345 0.671 0x00
OBS: 59050.270 z NULL 174.328 200.068 21.897 1.246 0x00
OBS: 59050.270 g NULL 207.013 115.784 21.710 0.607 0x00
OBS: 59051.270 g NULL 58.773 75.665 23.077 1.398 0x00
OBS: 59051.270 r NULL 125.709 74.929 22.252 0.647 0x00
OBS: 59058.260 z NULL 411.554 294.755 20.964 0.778 0x00
OBS: 59060.270 r NULL 347.590 182.866 21.147 0.571 0x00
OBS: 59072.260 g NULL 113.732 140.520 22.360 1.341 0x00
OBS: 59075.260 g NULL 278.160 134.117 21.389 0.523 0x00
OBS: 59075.260 i NULL 297.615 141.793 21.316 0.517 0x00
OBS: 59186.640 r NULL 220.141 96.871 21.643 0.478 0x00
OBS: 59186.640 z NULL 310.006 141.322 21.272 0.495 0x00
OBS: 59188.650 r NULL 251.444 127.826 21.499 0.552 0x00
OBS: 59195.580 g NULL 218.511 91.244 21.651 0.453 0x00
OBS: 59198.630 g NULL 194.554 78.298 21.777 0.437 0x00
OBS: 59204.660 g NULL 92.589 112.871 22.584 1.324 0x00
OBS: 59205.640 r NULL 98.908 60.093 22.512 0.660 0x00
OBS: 59207.650 r NULL 122.339 75.886 22.281 0.673 0x00
OBS: 59208.650 z NULL 135.505 95.181 22.170 0.763 0x00
OBS: 59212.630 r NULL 107.407 83.588 22.422 0.845 0x00
OBS: 59213.650 i NULL 128.568 138.143 22.227 1.167 0x00
OBS: 59213.650 r NULL 333.979 145.767 21.191 0.474 0x00
OBS: 59214.630 z NULL 119.993 140.740 22.302 1.273 0x00
OBS: 59228.620 g NULL 193.899 107.122 21.781 0.600 0x00
OBS: 59235.540 r NULL 192.738 135.072 21.788 0.761 0x00
OBS: 59236.650 g NULL 156.483 117.679 22.014 0.816 0x00
OBS: 59236.650 i NULL 90.953 117.339 22.603 1.401 0x00
OBS: 59243.560 i NULL 117.424 143.248 22.326 1.325 0x00
OBS: 59257.520 g NULL 56.760 50.079 23.115 0.958 0x00
OBS: 59261.460 g NULL 62.468 60.017 23.011 1.043 0x00
OBS: 59262.620 g NULL 87.649 62.245 22.643 0.771 0x00
OBS: 59267.460 z NULL 119.359 133.512 22.308 1.214 0x00
OBS: 59267.460 r NULL 95.125 99.543 22.554 1.136 0x00
OBS: 59268.470 r NULL 135.427 61.874 22.171 0.496 0x00
OBS: 59294.420 z NULL 433.250 230.391 20.908 0.577 0x00
OBS: 59296.350 g NULL 159.802 104.493 21.991 0.710 0x00
OBS: 59297.940 r NULL 150.015 177.632 22.120 1.426 0x00
OBS: 59303.359 X 473 8335.007 284.748 17.698 0.037 0x00
OBS: 59304.350 z NULL 21652.961 233.276 16.661 0.012 0x00
OBS: 59304.350 r NULL 21821.310 184.534 16.653 0.009 0x00
OBS: 59305.277 X 473 41683.268 424.145 15.950 0.011 0x00
OBS: 59305.320 r NULL 38800.034 196.918 16.028 0.006 0x00
OBS: 59305.320 i NULL 31876.113 180.243 16.241 0.006 0x00
OBS: 59306.390 z NULL 57749.597 317.135 15.596 0.006 0x00
OBS: 59306.390 r NULL 62489.391 230.718 15.510 0.004 0x00
OBS: 59307.254 Y 473 94884.340 309.198 15.057 0.004 0x00
OBS: 59307.297 X 473 87562.772 280.585 15.144 0.003 0x00
OBS: 59307.350 i NULL 77427.868 269.171 15.278 0.004 0x00
OBS: 59307.360 g NULL 88458.802 349.006 15.133 0.004 0x00
OBS: 59309.277 Y 473 173366.097 408.771 14.403 0.003 0x00
OBS: 59309.309 X 473 159656.969 377.500 14.492 0.003 0x00
OBS: 59310.470 i NULL 93704.271 530.574 15.071 0.006 0x00
OBS: 59310.470 g NULL 212987.997 411.149 14.179 0.002 0x00
OBS: 59311.233 X 473 258123.795 513.630 13.970 0.002 0x00
OBS: 59311.312 Y 473 283221.021 518.370 13.870 0.002 0x00
OBS: 59311.340 g NULL 252187.278 576.142 13.996 0.002 0x00
OBS: 59311.340 z NULL 213761.982 561.203 14.175 0.003 0x00
OBS: 59313.255 X 473 357655.540 580.947 13.616 0.002 0x00
OBS: 59313.298 Y 473 381451.063 782.336 13.546 0.002 0x00
OBS: 59313.470 g NULL 356381.350 617.096 13.620 0.002 0x00
OBS: 59313.470 i NULL 297737.572 502.788 13.815 0.002 0x00
OBS: 59314.310 z NULL 294370.247 681.751 13.828 0.003 0x00
OBS: 59314.310 g NULL 382562.806 684.658 13.543 0.002 0x00
OBS: 59315.253 Y 473 445885.217 2830.593 13.377 0.007 0x00
OBS: 59315.276 X 473 416230.825 1357.676 13.452 0.004 0x00
OBS: 59316.430 i NULL 344596.370 609.529 13.657 0.002 0x00
OBS: 59316.430 g NULL 471479.002 726.949 13.316 0.002 0x00
OBS: 59317.252 X 473 492346.273 645.396 13.269 0.001 0x00
OBS: 59317.331 Y 473 467766.460 658.802 13.325 0.002 0x00
OBS: 59317.370 g NULL 475443.892 782.823 13.307 0.002 0x00
OBS: 59317.370 z NULL 330027.637 669.913 13.704 0.002 0x00
OBS: 59318.430 r NULL 536087.292 1922.576 13.177 0.004 0x00
OBS: 59320.310 z NULL 331150.121 896.798 13.700 0.003 0x00
OBS: 59320.310 g NULL 601750.934 2115.625 13.051 0.004 0x00
OBS: 59321.271 X 473 539039.285 686.687 13.171 0.001 0x00
OBS: 59321.298 Y 473 515134.346 689.748 13.220 0.001 0x00
OBS: 59321.360 r NULL 498155.885 819.887 13.257 0.002 0x00
OBS: 59321.360 g NULL 488173.110 698.533 13.279 0.002 0x00
OBS: 59322.410 g NULL 486847.954 851.559 13.282 0.002 0x00
OBS: 59322.410 i NULL 270110.371 834.211 13.921 0.003 0x00
OBS: 59323.278 X 473 482565.724 655.834 13.291 0.001 0x00
OBS: 59323.300 z NULL 301413.083 939.305 13.802 0.003 0x00
OBS: 59323.300 g NULL 483242.553 992.797 13.290 0.002 0x00
OBS: 59323.316 Y 473 504235.594 696.972 13.243 0.002 0x00
OBS: 59325.277 Y 473 459211.152 647.344 13.345 0.002 0x00
OBS: 59325.325 X 473 447492.036 651.431 13.373 0.002 0x00
OBS: 59334.273 Y 473 265640.653 511.110 13.939 0.002 0x00
OBS: 59334.440 r NULL 278280.436 467.795 13.889 0.002 0x00
OBS: 59334.440 i NULL 160769.810 405.095 14.484 0.003 0x00
OBS: 59335.390 z NULL 232057.900 699.260 14.086 0.003 0x00
OBS: 59335.390 r NULL 267426.957 495.812 13.932 0.002 0x00
OBS: 59336.256 X 473 205138.935 421.641 14.220 0.002 0x00
OBS: 59336.310 Y 473 251418.180 491.835 13.999 0.002 0x00
OBS: 59336.440 i NULL 167471.003 367.885 14.440 0.002 0x00
OBS: 59336.440 r NULL 261226.556 475.176 13.957 0.002 0x00
OBS: 59337.260 i NULL 150490.978 434.986 14.556 0.003 0x00
OBS: 59338.255 Y 473 253559.161 492.286 13.990 0.002 0x00
OBS: 59338.280 z NULL 239704.410 573.252 14.051 0.003 0x00
OBS: 59338.280 g NULL 182457.315 424.663 14.347 0.003 0x00
OBS: 59338.312 X 473 168317.127 402.016 14.435 0.003 0x00
OBS: 59340.228 X 473 147272.628 369.614 14.580 0.003 0x00
OBS: 59342.260 r NULL 234453.796 459.975 14.075 0.002 0x00
OBS: 59342.260 g NULL 129664.817 337.262 14.718 0.003 0x00
OBS: 59342.275 Y 473 227389.390 475.919 14.108 0.002 0x00
OBS: 59342.317 X 473 114596.030 337.341 14.852 0.003 0x00
OBS: 59343.260 g NULL 118520.799 358.906 14.816 0.003 0x00
OBS: 59343.260 i NULL 184913.517 393.225 14.333 0.002 0x00
OBS: 59344.246 Y 473 224367.159 463.977 14.123 0.002 0x00
OBS: 59344.254 X 473 106466.513 313.567 14.932 0.003 0x00
OBS: 59344.260 g NULL 110623.396 332.171 14.890 0.003 0x00
OBS: 59344.270 z NULL 233228.722 526.703 14.081 0.002 0x00
OBS: 59345.270 r NULL 215695.211 430.690 14.165 0.002 0x00
OBS: 59345.270 g NULL 101578.274 302.592 14.983 0.003 0x00
OBS: 59346.280 g NULL 95025.523 322.836 15.055 0.004 0x00
OBS: 59346.280 i NULL 190111.768 393.748 14.302 0.002 0x00
OBS: 59347.178 X 473 88841.651 292.359 15.128 0.004 0x00
OBS: 59347.360 z NULL 214277.289 522.074 14.173 0.003 0x00
OBS: 59347.360 g NULL 88167.152 298.100 15.137 0.004 0x00
OBS: 59349.176 Y 473 185263.463 433.170 14.331 0.003 0x00
OBS: 59349.210 X 473 69356.215 262.658 15.397 0.004 0x00
OBS: 59349.370 g NULL 76637.440 322.410 15.289 0.005 0x00
OBS: 59349.370 i NULL 176394.223 422.730 14.384 0.003 0x00
OBS: 59350.260 g NULL 71211.724 323.183 15.369 0.005 0x00
OBS: 59350.260 r NULL 166140.625 342.208 14.449 0.002 0x00
OBS: 59351.260 g NULL 67383.756 284.801 15.429 0.005 0x00
OBS: 59351.260 i NULL 158420.026 406.407 14.500 0.003 0x00
OBS: 59352.208 X 473 55969.726 258.448 15.630 0.005 0x00
OBS: 59352.238 Y 473 130801.720 413.284 14.708 0.003 0x00
OBS: 59352.260 z NULL 168667.946 489.451 14.432 0.003 0x00
OBS: 59353.380 r NULL 133896.758 322.876 14.683 0.003 0x00
OBS: 59353.380 g NULL 61516.878 294.431 15.528 0.005 0x00
OBS: 59354.179 X 473 52788.128 264.546 15.694 0.005 0x00
OBS: 59354.211 Y 473 119780.476 375.843 14.804 0.003 0x00
OBS: 59358.254 X 473 46051.656 368.139 15.842 0.009 0x00
OBS: 59358.310 Y 473 96960.940 467.779 15.034 0.005 0x00
OBS: 59359.340 i NULL 95556.554 352.865 15.049 0.004 0x00
OBS: 59359.350 r NULL 97740.410 288.983 15.025 0.003 0x00
OBS: 59360.330 z NULL 98968.441 400.475 15.011 0.004 0x00
OBS: 59360.340 r NULL 93849.198 311.664 15.069 0.004 0x00
OBS: 59361.214 Y 473 89574.666 319.451 15.120 0.004 0x00
OBS: 59361.254 X 473 45267.263 290.850 15.861 0.007 0x00
OBS: 59361.370 r NULL 90894.898 261.227 15.104 0.003 0x00
OBS: 59361.370 i NULL 87649.219 294.160 15.143 0.004 0x00
OBS: 59362.360 r NULL 87581.933 276.404 15.144 0.003 0x00
OBS: 59362.360 z NULL 88796.915 416.317 15.129 0.005 0x00
OBS: 59363.207 Y 473 83751.295 284.154 15.193 0.004 0x00
OBS: 59363.211 X 473 40916.117 203.383 15.970 0.005 0x00
OBS: 59363.330 i NULL 80334.536 253.312 15.238 0.003 0x00
OBS: 59363.330 r NULL 84349.045 269.347 15.185 0.003 0x00
OBS: 59364.380 z NULL 79497.046 350.398 15.249 0.005 0x00
OBS: 59364.380 r NULL 82616.511 273.735 15.207 0.004 0x00
OBS: 59365.191 X 473 40271.625 204.035 15.988 0.006 0x00
OBS: 59365.330 i NULL 74055.843 257.703 15.326 0.004 0x00
OBS: 59365.340 r NULL 79151.355 294.471 15.254 0.004 0x00
OBS: 59366.400 i NULL 71336.419 272.054 15.367 0.004 0x00
OBS: 59366.400 g NULL 39924.244 213.759 15.997 0.006 0x00
OBS: 59367.192 Y 473 75700.986 292.820 15.302 0.004 0x00
OBS: 59367.330 g NULL 40255.345 199.936 15.988 0.005 0x00
OBS: 59367.330 z NULL 68456.460 294.283 15.411 0.005 0x00
OBS: 59368.280 g NULL 39066.041 219.518 16.021 0.006 0x00
OBS: 59368.280 r NULL 72041.563 274.654 15.356 0.004 0x00
OBS: 59369.207 Y 473 69574.491 269.724 15.394 0.004 0x00
OBS: 59369.229 X 473 35469.617 203.093 16.125 0.006 0x00
OBS: 59370.280 i NULL 61625.320 227.179 15.526 0.004 0x00
OBS: 59370.280 g NULL 38185.431 190.772 16.045 0.005 0x00
OBS: 59371.191 X 473 35903.969 200.691 16.112 0.006 0x00
OBS: 59371.270 r NULL 65147.497 286.987 15.465 0.005 0x00
OBS: 59371.270 g NULL 37443.341 284.295 16.067 0.008 0x00
OBS: 59372.350 g NULL 36794.573 213.663 16.086 0.006 0x00
OBS: 59372.350 i NULL 56644.835 293.112 15.617 0.006 0x00
OBS: 59373.211 Y 473 57358.346 258.947 15.604 0.005 0x00
OBS: 59373.257 X 473 32044.329 208.215 16.236 0.007 0x00
OBS: 59373.270 z NULL 49650.880 271.799 15.760 0.006 0x00
OBS: 59373.270 g NULL 35891.056 203.568 16.113 0.006 0x00
OBS: 59374.320 r NULL 59583.429 250.953 15.562 0.005 0x00
OBS: 59374.320 g NULL 35128.338 227.473 16.136 0.007 0x00
OBS: 59375.187 X 473 31677.330 201.854 16.248 0.007 0x00
OBS: 59376.280 z NULL 41881.045 279.236 15.945 0.007 0x00
OBS: 59376.280 g NULL 34393.849 239.372 16.159 0.008 0x00
OBS: 59377.187 X 473 33441.147 193.257 16.189 0.006 0x00
OBS: 59377.211 Y 473 56596.616 248.959 15.618 0.005 0x00
OBS: 59377.280 g NULL 33691.823 220.009 16.181 0.007 0x00
OBS: 59377.280 r NULL 54382.086 236.879 15.661 0.005 0x00
OBS: 59378.280 g NULL 33381.152 211.029 16.191 0.007 0x00
OBS: 59378.280 i NULL 47325.134 201.373 15.812 0.005 0x00
OBS: 59379.208 X 473 32256.853 184.887 16.228 0.006 0x00
OBS: 59379.213 Y 473 53871.821 253.554 15.672 0.005 0x00
OBS: 59379.330 z NULL 37095.309 256.292 16.077 0.008 0x00
OBS: 59379.330 g NULL 32184.543 212.103 16.231 0.007 0x00
OBS: 59380.270 r NULL 49578.227 275.979 15.762 0.006 0x00
OBS: 59380.280 g NULL 32186.364 247.866 16.231 0.008 0x00
OBS: 59381.279 X 473 31357.019 911.746 16.259 0.032 0x00
