# CREATED_DATE: 2023-04-20T10:56:12.704Z
# MODIFIED_DATE: 2023-11-25T05:01:47.306Z
# STATUS: Following
# OBS_GROUP: PSST
# NON_DETECT_BAND: ACAM1 - cyan
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: PSO J212600.455-034820.602; (21:26:00.46, -03:48:20.87)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2023gft
# RA: 321.5055315240771
# DEC: -3.798211389975169
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2023-06-17T00:00:00Z
# REDSHIFT: 0.0098
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2023-04-17T10:00:46Z
# NON_DETECT_LIMIT: 18.85
# MW_EBV: 0.053
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: PS23eja/60112/1212601320034753600_60112.591_127175688_24_target.jpeg
# POSTAGE_STAMP_REF: PS23eja/60112/1212601320034753600_60112.591_127175688_24_ref.jpeg
# POSTAGE_STAMP_DIFF: PS23eja/60112/1212601320034753600_60112.591_127175688_24_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_target.fits
# POSTAGE_STAMP_REF_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_ref.fits
# POSTAGE_STAMP_DIFF_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: GOOD
# SLUG: 2023gft
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [30, 32, 90]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      60077.424  g-ZTF  159779.045  4340.983  14.491  0.029  None  P48  ZTF-Cam  None
OBS:      60077.439  r-ZTF  147601.071  2799.827  14.577  0.021  None  P48  ZTF-Cam  None
OBS:      60079.431  r-ZTF  131827.087  5846.208  14.700  0.048  None  P48  ZTF-Cam  None
OBS:      60085.385  g-ZTF  90240.208  2116.838  15.111  0.025  None  P48  ZTF-Cam  None
OBS:      60085.459  r-ZTF  94304.561  2381.243  15.064  0.027  None  P48  ZTF-Cam  None
OBS:      60090.460  r-ZTF  89509.672  1396.337  15.120  0.017  None  P48  ZTF-Cam  None
OBS:      60097.439  g-ZTF  32562.534  1190.497  16.218  0.040  None  P48  ZTF-Cam  None
OBS:      60099.414  r-ZTF  71114.800  2015.016  15.370  0.031  None  P48  ZTF-Cam  None
OBS:      60099.442  g-ZTF  28774.364  1147.252  16.352  0.043  None  P48  ZTF-Cam  None
OBS:      60101.415  r-ZTF  62939.032  1755.069  15.503  0.030  None  P48  ZTF-Cam  None
OBS:      60101.440  g-ZTF  24302.055  812.892  16.536  0.036  None  P48  ZTF-Cam  None
OBS:      60108.457  r-ZTF  40950.328  1093.704  15.969  0.029  None  P48  ZTF-Cam  None
OBS:      60111.369  r-ZTF  36334.592  1306.355  16.099  0.039  None  P48  ZTF-Cam  None
OBS:      60111.411  g-ZTF  16664.805  638.328  16.945  0.042  None  P48  ZTF-Cam  None
OBS:      60111.418  g-ZTF  16522.725  670.720  16.955  0.044  None  P48  ZTF-Cam  None
OBS:      60114.384  r-ZTF  32857.893  889.255  16.208  0.029  None  P48  ZTF-Cam  None
OBS:      60114.426  g-ZTF  15455.474  455.723  17.027  0.032  None  P48  ZTF-Cam  None
OBS:      60117.402  r-ZTF  29774.216  966.882  16.315  0.035  None  P48  ZTF-Cam  None
OBS:      60117.428  g-ZTF  15116.597  654.785  17.051  0.047  None  P48  ZTF-Cam  None
OBS:      60119.418  g-ZTF  14732.621  646.113  17.079  0.048  None  P48  ZTF-Cam  None
OBS:      60119.441  r-ZTF  28118.451  896.694  16.378  0.035  None  P48  ZTF-Cam  None
OBS:      60121.310  r-ZTF  26600.848  924.111  16.438  0.038  None  P48  ZTF-Cam  None
OBS:      60121.435  g-ZTF  13911.986  560.315  17.142  0.044  None  P48  ZTF-Cam  None
OBS:      60123.378  g-ZTF  13510.769  529.898  17.173  0.043  None  P48  ZTF-Cam  None
OBS:      60123.439  r-ZTF  24579.288  671.098  16.524  0.030  None  P48  ZTF-Cam  None
OBS:      60125.398  g-ZTF  13716.969  783.795  17.157  0.062  None  P48  ZTF-Cam  None
OBS:      60127.398  r-ZTF  21667.069  639.653  16.660  0.032  None  P48  ZTF-Cam  None
OBS:      60133.383  r-ZTF  18037.612  656.620  16.860  0.040  None  P48  ZTF-Cam  None
OBS:      60140.338  g-ZTF  10862.273  458.702  17.410  0.046  None  P48  ZTF-Cam  None
OBS:      60146.317  r-ZTF  12336.736  383.327  17.272  0.034  None  P48  ZTF-Cam  None
OBS:      60146.356  r-ZTF  12376.742  394.964  17.268  0.035  None  P48  ZTF-Cam  None
OBS:      60156.389  r-ZTF  9384.257  533.339  17.569  0.062  None  P48  ZTF-Cam  None
OBS:      60160.315  g-ZTF  8553.025  530.156  17.670  0.067  None  P48  ZTF-Cam  None
OBS:      60162.408  g-ZTF  8301.137  428.911  17.702  0.056  None  P48  ZTF-Cam  None
OBS:      60168.339  r-ZTF  6697.614  321.786  17.935  0.052  None  P48  ZTF-Cam  None
OBS:      60170.312  r-ZTF  6476.795  334.656  17.972  0.056  None  P48  ZTF-Cam  None
OBS:      60170.333  g-ZTF  7228.365  441.017  17.852  0.066  None  P48  ZTF-Cam  None
OBS:      60172.279  r-ZTF  5869.223  368.363  18.079  0.068  None  P48  ZTF-Cam  None
OBS:      60181.270  r-ZTF  4914.510  266.543  18.271  0.059  None  P48  ZTF-Cam  None
OBS:      60181.317  g-ZTF  6533.109  353.542  17.962  0.059  None  P48  ZTF-Cam  None
OBS:      60183.362  r-ZTF  4578.040  255.210  18.348  0.061  None  P48  ZTF-Cam  None
