# CREATED_DATE: 2022-03-23T01:50:23.788Z
# MODIFIED_DATE: 2023-07-05T09:17:28.008Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN Iax[02cx-like]
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: None
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2022eyw
# RA: 190.99987499999997
# DEC: 62.33008055555556
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2022-03-22T11:04:36.192Z
# REDSHIFT: 0.009
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2022-03-03T07:50:53Z
# NON_DETECT_LIMIT: 20.49
# MW_EBV: 0.011
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Iax[02cx-like]
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2022eyw
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [10, 16, 45, 90]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59687.379  r-ZTF  57925.031  362.608  15.593  0.007  None  P48  ZTF-Cam  None
OBS:      59689.307  g-ZTF  14019.012  291.213  17.133  0.023  None  P48  ZTF-Cam  None
OBS:      59689.395  r-ZTF  51124.087  369.905  15.728  0.008  None  P48  ZTF-Cam  None
OBS:      59693.264  r-ZTF  39289.464  233.243  16.014  0.006  None  P48  ZTF-Cam  None
OBS:      59693.472  g-ZTF  10677.649  296.106  17.429  0.030  None  P48  ZTF-Cam  None
OBS:      59695.340  g-ZTF  7725.103  692.736  17.780  0.097  None  P48  ZTF-Cam  None
OBS:      59695.414  r-ZTF  39303.822  596.579  16.014  0.016  None  P48  ZTF-Cam  None
OBS:      59697.278  g-ZTF  8886.508  150.591  17.628  0.018  None  P48  ZTF-Cam  None
OBS:      59697.364  r-ZTF  32334.987  3817.493  16.226  0.128  None  P48  ZTF-Cam  None
OBS:      59700.240  g-ZTF  7629.619  145.144  17.794  0.021  None  P48  ZTF-Cam  None
OBS:      59700.288  r-ZTF  28189.242  203.347  16.375  0.008  None  P48  ZTF-Cam  None
OBS:      59702.281  g-ZTF  7385.206  158.234  17.829  0.023  None  P48  ZTF-Cam  None
OBS:      59702.352  r-ZTF  26202.558  232.071  16.454  0.010  None  P48  ZTF-Cam  None
OBS:      59707.222  r-ZTF  21095.889  214.531  16.690  0.011  None  P48  ZTF-Cam  None
OBS:      59707.284  r-ZTF  21794.767  248.819  16.654  0.012  None  P48  ZTF-Cam  None
OBS:      59709.280  r-ZTF  20349.148  323.615  16.729  0.017  None  P48  ZTF-Cam  None
OBS:      59709.326  r-ZTF  18726.243  517.085  16.819  0.030  None  P48  ZTF-Cam  None
OBS:      59711.245  g-ZTF  5781.244  271.082  18.095  0.051  None  P48  ZTF-Cam  None
OBS:      59711.304  r-ZTF  19557.511  313.493  16.772  0.017  None  P48  ZTF-Cam  None
OBS:      59713.265  r-ZTF  18165.235  326.125  16.852  0.019  None  P48  ZTF-Cam  None
OBS:      59713.333  g-ZTF  5391.786  363.951  18.171  0.073  None  P48  ZTF-Cam  None
OBS:      59715.267  g-ZTF  5405.875  423.797  18.168  0.085  None  P48  ZTF-Cam  None
OBS:      59719.246  r-ZTF  15572.095  160.574  17.019  0.011  None  P48  ZTF-Cam  None
OBS:      59719.351  r-ZTF  15563.006  268.899  17.020  0.019  None  P48  ZTF-Cam  None
OBS:      59722.304  g-ZTF  5020.514  162.934  18.248  0.035  None  P48  ZTF-Cam  None
OBS:      59722.431  g-ZTF  4750.666  283.637  18.308  0.065  None  P48  ZTF-Cam  None
OBS:      59724.285  r-ZTF  14029.479  195.163  17.132  0.015  None  P48  ZTF-Cam  None
OBS:      59724.372  g-ZTF  5011.211  180.465  18.250  0.039  None  P48  ZTF-Cam  None
OBS:      59726.283  g-ZTF  4868.512  294.849  18.282  0.066  None  P48  ZTF-Cam  None
OBS:      59726.385  r-ZTF  13810.712  578.651  17.149  0.045  None  P48  ZTF-Cam  None
OBS:      59729.386  g-ZTF  4482.038  346.299  18.371  0.084  None  P48  ZTF-Cam  None
OBS:      59732.198  r-ZTF  11654.571  466.254  17.334  0.043  None  P48  ZTF-Cam  None
OBS:      59732.266  g-ZTF  4543.557  263.973  18.357  0.063  None  P48  ZTF-Cam  None
OBS:      59734.201  g-ZTF  4697.919  256.834  18.320  0.059  None  P48  ZTF-Cam  None
