# CREATED_DATE: 2022-04-16T19:21:00.341Z
# MODIFIED_DATE: 2023-09-11T16:47:19.187Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: PSO J124334.645+113432.888; (12:43:34.63, +11:34:32.77)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2022hrs
# RA: 190.89306249999998
# DEC: 11.576630555555555
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2022-04-16T14:50:40Z
# REDSHIFT: 0.0047
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2022-04-13T05:08:10Z
# NON_DETECT_LIMIT: 19.32
# MW_EBV: 0.023
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2022hrs
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [12, 19, 22, 32, 47, 68, 90, 97]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59628.434  ZTF-r  943.624  699.414  20.063  0.805  None  P48  ZTF-Cam  None
OBS:      59636.464  ZTF-r  250.698  238.336  21.502  1.032  None  P48  ZTF-Cam  None
OBS:      59639.378  ZTF-g  -190.252  179.749  nan  -1.026  None  P48  ZTF-Cam  None
OBS:      59639.478  ZTF-r  -102.173  270.596  nan  -2.875  None  P48  ZTF-Cam  None
OBS:      59641.334  ZTF-r  371.576  186.280  21.075  0.544  None  P48  ZTF-Cam  None
OBS:      59641.381  ZTF-g  152.214  164.827  22.044  1.176  None  P48  ZTF-Cam  None
OBS:      59672.316  ZTF-g  -93.814  127.370  nan  -1.474  None  P48  ZTF-Cam  None
OBS:      59675.212  ZTF-r  134.749  235.993  22.176  1.902  None  P48  ZTF-Cam  None
OBS:      59675.333  ZTF-g  -178.448  168.851  nan  -1.027  None  P48  ZTF-Cam  None
OBS:      59677.300  ZTF-g  102.935  201.177  22.469  2.122  None  P48  ZTF-Cam  None
OBS:      59677.363  ZTF-r  -52.128  232.474  nan  -4.842  None  P48  ZTF-Cam  None
OBS:      59679.230  ZTF-r  -467.147  257.348  nan  -0.598  None  P48  ZTF-Cam  None
OBS:      59682.214  ZTF-g  645.897  377.698  20.475  0.635  None  P48  ZTF-Cam  None
OBS:      59682.316  ZTF-r  2350.520  366.416  19.072  0.169  None  P48  ZTF-Cam  None
OBS:      59687.369  ZTF-r  220926.197  568.101  14.139  0.003  None  P48  ZTF-Cam  None
OBS:      59689.296  ZTF-g  325812.731  1041.650  13.718  0.003  None  P48  ZTF-Cam  None
OBS:      59693.256  ZTF-r  814716.515  784.463  12.722  0.001  None  P48  ZTF-Cam  None
