SURVEY:  YSE
SNID:  2021hiz
otherID: 
IAUC:    UNKNOWN
RA:        186.4236500  deg
DECL:       7.2284050  deg
MWEBV:    0.022 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0033 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0050 +- 0.005 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J122541.533+071344.203 
VETTED_PS1_OBJID: 116671864231535215 
VETTED_HOST_GALAXY_STATUS: N 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 44.444 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (186.4273, 7.2166) 
VETTED_HOST_GALAXY_NAME: IC 3322A (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0033 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59320.310
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -17.718
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.108 +- 0.01
PARSNIP_S2: -0.074 +- 0.021
PARSNIP_S3: 1.422 +- 0.016
SUPERRAENN_PRED: SN II
SUPERRAENN_CONF: 64.0
SET_ZTF_FP: 27.500
PEAK_SNR: 784.985
MAX_MJD_GAP(days): 95.262
NOBS_BEFORE_PEAK: 116
NOBS_TO_PEAK: 117
NOBS_AFTER_PEAK: 182
SEARCH_PEAKMAG: 13.051
SEARCH_PEAKFLT: g
PEAKMAG_YSE-r/ZTF-r(Y): 13.177
PEAKFLT_YSE-r/ZTF-r(Y): r
FILTERS: zigYrX
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 0, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021hiz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.872 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 299
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58846.660 PS1-r NULL 156.552 84.217 22.013 0.584 0x00
OBS: 58847.660 PS1-g NULL 41.377 56.548 23.458 1.484 0x00
OBS: 58850.610 PS1-g NULL 142.769 72.497 22.113 0.551 0x00
OBS: 58866.570 PS1-g NULL 220.119 81.981 21.643 0.404 0x00
OBS: 58870.580 PS1-r NULL 60.737 55.324 23.041 0.989 0x00
OBS: 58873.560 PS1-g NULL 66.199 63.353 22.948 1.039 0x00
OBS: 58876.520 PS1-r NULL 117.917 63.108 22.321 0.581 0x00
OBS: 58877.580 PS1-g NULL 97.589 61.612 22.526 0.685 0x00
OBS: 58878.510 PS1-z NULL 221.021 143.595 21.639 0.705 0x00
OBS: 58878.510 PS1-g NULL 155.281 74.742 22.022 0.523 0x00
OBS: 58882.500 PS1-g NULL 76.981 71.915 22.784 1.014 0x00
OBS: 58930.510 PS1-z NULL 336.913 312.588 21.181 1.007 0x00
OBS: 58932.510 PS1-g NULL 105.357 73.456 22.443 0.757 0x00
OBS: 58933.510 PS1-g NULL 192.836 195.658 21.787 1.102 0x00
OBS: 58950.320 PS1-z NULL 211.757 154.063 21.685 0.790 0x00
OBS: 58955.440 PS1-i NULL 93.418 83.927 22.574 0.975 0x00
OBS: 58957.430 PS1-r NULL 100.529 80.196 22.494 0.866 0x00
OBS: 58960.300 PS1-r NULL 92.081 54.253 22.590 0.640 0x00
OBS: 58960.300 PS1-g NULL 124.742 54.320 22.260 0.473 0x00
OBS: 58965.420 PS1-g NULL 190.590 116.435 21.800 0.663 0x00
OBS: 58967.310 PS1-g NULL 81.894 69.992 22.717 0.928 0x00
OBS: 58976.410 PS1-i NULL 222.118 172.992 21.634 0.846 0x00
OBS: 58981.410 PS1-z NULL 342.370 166.165 21.164 0.527 0x00
OBS: 58981.410 PS1-r NULL 71.510 93.312 22.864 1.417 0x00
OBS: 58982.280 PS1-g NULL 49.106 60.768 23.272 1.344 0x00
OBS: 59004.300 PS1-i NULL 134.576 167.843 22.178 1.354 0x00
OBS: 59007.270 PS1-r NULL 82.678 68.461 22.707 0.899 0x00
OBS: 59010.290 PS1-i NULL 80.729 62.430 22.732 0.840 0x00
OBS: 59011.290 PS1-r NULL 134.631 145.572 22.177 1.174 0x00
OBS: 59013.280 PS1-g NULL 121.617 91.435 22.288 0.816 0x00
OBS: 59016.280 PS1-r NULL 90.642 64.478 22.607 0.772 0x00
OBS: 59018.310 PS1-g NULL 100.206 129.304 22.498 1.401 0x00
OBS: 59020.280 PS1-g NULL 219.929 180.181 21.644 0.890 0x00
OBS: 59021.270 PS1-z NULL 87.051 110.721 22.651 1.381 0x00
OBS: 59023.280 PS1-g NULL 71.253 69.413 22.868 1.058 0x00
OBS: 59032.280 PS1-r NULL 151.445 118.465 22.049 0.849 0x00
OBS: 59033.270 PS1-r NULL 83.893 103.386 22.691 1.338 0x00
OBS: 59036.280 PS1-z NULL 125.893 149.456 22.250 1.289 0x00
OBS: 59042.270 PS1-g NULL 146.738 70.152 22.084 0.519 0x00
OBS: 59042.280 PS1-r NULL 92.253 62.252 22.588 0.733 0x00
OBS: 59047.280 PS1-z NULL 460.019 172.533 20.843 0.407 0x00
OBS: 59047.280 PS1-g NULL 101.877 100.513 22.480 1.071 0x00
OBS: 59048.270 PS1-g NULL 191.264 96.733 21.796 0.549 0x00
OBS: 59048.270 PS1-r NULL 115.324 71.222 22.345 0.671 0x00
OBS: 59050.270 PS1-z NULL 174.328 200.068 21.897 1.246 0x00
OBS: 59050.270 PS1-g NULL 207.013 115.784 21.710 0.607 0x00
OBS: 59051.270 PS1-g NULL 58.773 75.665 23.077 1.398 0x00
OBS: 59051.270 PS1-r NULL 125.709 74.929 22.252 0.647 0x00
OBS: 59058.260 PS1-z NULL 411.554 294.755 20.964 0.778 0x00
OBS: 59060.270 PS1-r NULL 347.590 182.866 21.147 0.571 0x00
OBS: 59072.260 PS1-g NULL 113.732 140.520 22.360 1.341 0x00
OBS: 59075.260 PS1-g NULL 278.160 134.117 21.389 0.523 0x00
OBS: 59075.260 PS1-i NULL 297.615 141.793 21.316 0.517 0x00
OBS: 59186.640 PS1-r NULL 220.141 96.871 21.643 0.478 0x00
OBS: 59186.640 PS1-z NULL 310.006 141.322 21.272 0.495 0x00
OBS: 59188.650 PS1-r NULL 251.444 127.826 21.499 0.552 0x00
OBS: 59195.580 PS1-g NULL 218.511 91.244 21.651 0.453 0x00
OBS: 59198.630 PS1-g NULL 194.554 78.298 21.777 0.437 0x00
OBS: 59204.660 PS1-g NULL 92.589 112.871 22.584 1.324 0x00
OBS: 59205.640 PS1-r NULL 98.908 60.093 22.512 0.660 0x00
OBS: 59207.650 PS1-r NULL 122.339 75.886 22.281 0.673 0x00
OBS: 59208.650 PS1-z NULL 135.505 95.181 22.170 0.763 0x00
OBS: 59212.630 PS1-r NULL 107.407 83.588 22.422 0.845 0x00
OBS: 59213.650 PS1-i NULL 128.568 138.143 22.227 1.167 0x00
OBS: 59213.650 PS1-r NULL 333.979 145.767 21.191 0.474 0x00
OBS: 59214.630 PS1-z NULL 119.993 140.740 22.302 1.273 0x00
OBS: 59228.620 PS1-g NULL 193.899 107.122 21.781 0.600 0x00
OBS: 59235.540 PS1-r NULL 192.738 135.072 21.788 0.761 0x00
OBS: 59236.650 PS1-g NULL 156.483 117.679 22.014 0.816 0x00
OBS: 59236.650 PS1-i NULL 90.953 117.339 22.603 1.401 0x00
OBS: 59243.560 PS1-i NULL 117.424 143.248 22.326 1.325 0x00
OBS: 59257.520 PS1-g NULL 56.760 50.079 23.115 0.958 0x00
OBS: 59261.460 PS1-g NULL 62.468 60.017 23.011 1.043 0x00
OBS: 59262.620 PS1-g NULL 87.649 62.245 22.643 0.771 0x00
OBS: 59267.460 PS1-z NULL 119.359 133.512 22.308 1.214 0x00
OBS: 59267.460 PS1-r NULL 95.125 99.543 22.554 1.136 0x00
OBS: 59268.470 PS1-r NULL 135.427 61.874 22.171 0.496 0x00
OBS: 59294.420 PS1-z NULL 433.250 230.391 20.908 0.577 0x00
OBS: 59296.350 PS1-g NULL 159.802 104.493 21.991 0.710 0x00
OBS: 59297.940 PS1-r NULL 150.015 177.632 22.120 1.426 0x00
OBS: 59303.359 ZTF-g 473 8335.007 284.748 17.698 0.037 0x00
OBS: 59304.350 PS1-z NULL 21652.961 233.276 16.661 0.012 0x00
OBS: 59304.350 PS1-r NULL 21821.310 184.534 16.653 0.009 0x00
OBS: 59305.277 ZTF-g 473 41683.268 424.145 15.950 0.011 0x00
OBS: 59305.320 PS1-r NULL 38800.034 196.918 16.028 0.006 0x00
OBS: 59305.320 PS1-i NULL 31876.113 180.243 16.241 0.006 0x00
OBS: 59306.390 PS1-z NULL 57749.597 317.135 15.596 0.006 0x00
OBS: 59306.390 PS1-r NULL 62489.391 230.718 15.510 0.004 0x00
OBS: 59307.254 ZTF-r 473 94884.340 309.198 15.057 0.004 0x00
OBS: 59307.297 ZTF-g 473 87562.772 280.585 15.144 0.003 0x00
OBS: 59307.350 PS1-i NULL 77427.868 269.171 15.278 0.004 0x00
OBS: 59307.360 PS1-g NULL 88458.802 349.006 15.133 0.004 0x00
OBS: 59309.277 ZTF-r 473 173366.097 408.771 14.403 0.003 0x00
OBS: 59309.309 ZTF-g 473 159656.969 377.500 14.492 0.003 0x00
