SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2015F 
IAUC: 2015F
RA:   114.065670 deg
DECL:   -69.506390 deg 
RA_HOST:   114.099330
DEC_HOST:   -69.530830
MWEBV: 0.174900 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.00489 +- 1.8e-05 
REDSHIFT_CMB: 0.005286 +- 1.8e-05 
VPEC: 80.5777 +- 250.0
HOSTGAL_LOGMASS: 0.0000 +- 0.000
FILTERS: BNUVWX
SEARCH_PEAKMJD: 57105.1
NOBS: 368
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 57104.570  CSP-g/A  NULL   4.25402E+05  3134.4      13.428   0.008
OBS: 57111.530  CSP-g/A  NULL   4.19952E+05  3867.9      13.442   0.010
OBS: 57112.520  CSP-g/A  NULL   4.06256E+05  1870.8      13.478   0.005
OBS: 57113.480  CSP-g/A  NULL   3.83001E+05  1763.7      13.542   0.005
OBS: 57117.490  CSP-g/A  NULL   2.93765E+05  1623.4      13.830   0.006
OBS: 57119.480  CSP-g/A  NULL   2.45019E+05  1354.0      14.027   0.006
OBS: 57120.490  CSP-g/A  NULL   2.21004E+05  1221.3      14.139   0.006
OBS: 57121.500  CSP-g/A  NULL   2.01930E+05  1115.9      14.237   0.006
OBS: 57122.490  CSP-g/A  NULL   1.80801E+05  1332.1      14.357   0.008
OBS: 57123.510  CSP-g/A  NULL   1.63380E+05  1203.8      14.467   0.008
OBS: 57125.550  CSP-g/A  NULL   1.36521E+05  628.70      14.662   0.005
OBS: 57126.570  CSP-g/A  NULL   1.24624E+05  573.91      14.761   0.005
OBS: 57127.480  CSP-g/A  NULL   1.13344E+05  521.97      14.864   0.005
OBS: 57129.570  CSP-g/A  NULL    95851.      529.69      15.046   0.006
OBS: 57130.590  CSP-g/A  NULL    86218.      635.28      15.161   0.008
OBS: 57131.600  CSP-g/A  NULL    80984.      522.12      15.229   0.007
OBS: 57134.510  CSP-g/A  NULL    65887.      424.78      15.453   0.007
OBS: 57135.510  CSP-g/A  NULL    60813.      560.11      15.540   0.010
OBS: 57136.510  CSP-g/A  NULL    57385.      369.97      15.603   0.007
OBS: 57137.510  CSP-g/A  NULL    54250.      399.72      15.664   0.008
OBS: 57138.550  CSP-g/A  NULL    51570.      237.49      15.719   0.005
OBS: 57139.510  CSP-g/A  NULL    48887.      315.19      15.777   0.007
OBS: 57141.560  CSP-g/A  NULL    44791.      371.29      15.872   0.009
OBS: 57143.560  CSP-g/A  NULL    41304.      266.30      15.960   0.007
OBS: 57146.580  CSP-g/A  NULL    38053.      350.49      16.049   0.010
OBS: 57148.540  CSP-g/A  NULL    36074.      232.58      16.107   0.007
OBS: 57152.550  CSP-g/A  NULL    33697.      217.25      16.181   0.007
OBS: 57154.530  CSP-g/A  NULL    32270.      237.77      16.228   0.008
OBS: 57157.530  CSP-g/A  NULL    30902.      313.08      16.275   0.011
OBS: 57159.540  CSP-g/A  NULL    29675.      245.99      16.319   0.009
OBS: 57161.560  CSP-g/A  NULL    28681.      237.74      16.356   0.009
OBS: 57163.530  CSP-g/A  NULL    27771.      230.20      16.391   0.009
OBS: 57176.450  CSP-g/A  NULL    23485.      281.20      16.573   0.013
OBS: 57178.450  CSP-g/A  NULL    22573.      187.11      16.616   0.009
OBS: 57180.470  CSP-g/A  NULL    21458.      197.64      16.671   0.010
OBS: 57182.470  CSP-g/A  NULL    21105.      194.39      16.689   0.010
OBS: 57092.560  CSP-i/C  NULL    24389.      269.56      16.532   0.012
OBS: 57093.560  CSP-i/C  NULL    43933.      323.71      15.893   0.008
OBS: 57094.530  CSP-i/C  NULL    69310.      510.69      15.398   0.008
OBS: 57095.580  CSP-i/C  NULL   1.03562E+05  1239.9      14.962   0.013
OBS: 57096.530  CSP-i/C  NULL   1.41906E+05  1568.4      14.620   0.012
OBS: 57097.610  CSP-i/C  NULL   1.83316E+05  2026.0      14.342   0.012
OBS: 57098.560  CSP-i/C  NULL   2.28244E+05  1681.7      14.104   0.008
OBS: 57099.540  CSP-i/C  NULL   2.67670E+05  2958.4      13.931   0.012
OBS: 57100.560  CSP-i/C  NULL   3.00885E+05  2216.9      13.804   0.008
OBS: 57101.550  CSP-i/C  NULL   3.36977E+05  1551.8      13.681   0.005
OBS: 57102.550  CSP-i/C  NULL   3.60745E+05  1661.2      13.607   0.005
OBS: 57103.660  CSP-i/C  NULL   3.70169E+05  1704.6      13.579   0.005
OBS: 57104.580  CSP-i/C  NULL   3.63078E+05  4012.8      13.600   0.012
OBS: 57110.500  CSP-i/C  NULL   3.15646E+05  2035.0      13.752   0.007
OBS: 57111.540  CSP-i/C  NULL   3.11028E+05  3724.0      13.768   0.013
OBS: 57112.520  CSP-i/C  NULL   3.01995E+05  1668.8      13.800   0.006
OBS: 57113.480  CSP-i/C  NULL   2.84971E+05  1837.2      13.863   0.007
OBS: 57117.490  CSP-i/C  NULL   2.29298E+05  1478.3      14.099   0.007
OBS: 57118.510  CSP-i/C  NULL   2.21615E+05  1837.0      14.136   0.009
OBS: 57119.490  CSP-i/C  NULL   2.16970E+05  1398.8      14.159   0.007
OBS: 57120.500  CSP-i/C  NULL   2.17972E+05  1806.8      14.154   0.009
OBS: 57121.500  CSP-i/C  NULL   2.23254E+05  1233.7      14.128   0.006
OBS: 57122.500  CSP-i/C  NULL   2.25944E+05  1664.8      14.115   0.008
OBS: 57123.510  CSP-i/C  NULL   2.29932E+05  2117.7      14.096   0.010
OBS: 57125.550  CSP-i/C  NULL   2.40104E+05  1105.7      14.049   0.005
OBS: 57127.480  CSP-i/C  NULL   2.39442E+05  1323.2      14.052   0.006
OBS: 57129.570  CSP-i/C  NULL   2.31206E+05  1703.5      14.090   0.008
OBS: 57130.600  CSP-i/C  NULL   2.25528E+05  2492.6      14.117   0.012
OBS: 57131.600  CSP-i/C  NULL   2.24285E+05  1859.1      14.123   0.009
OBS: 57134.510  CSP-i/C  NULL   2.07587E+05  955.97      14.207   0.005
OBS: 57135.510  CSP-i/C  NULL   1.95884E+05  1984.5      14.270   0.011
OBS: 57136.510  CSP-i/C  NULL   1.82642E+05  1345.7      14.346   0.008
OBS: 57137.520  CSP-i/C  NULL   1.69512E+05  936.75      14.427   0.006
OBS: 57138.550  CSP-i/C  NULL   1.58489E+05  729.87      14.500   0.005
OBS: 57139.510  CSP-i/C  NULL   1.47231E+05  1084.8      14.580   0.008
OBS: 57141.560  CSP-i/C  NULL   1.27292E+05  1289.6      14.738   0.011
OBS: 57143.570  CSP-i/C  NULL   1.15771E+05  639.77      14.841   0.006
OBS: 57146.580  CSP-i/C  NULL   1.00000E+05  644.72      15.000   0.007
OBS: 57148.540  CSP-i/C  NULL    92129.      509.12      15.089   0.006
OBS: 57152.550  CSP-i/C  NULL    79140.      583.13      15.254   0.008
OBS: 57154.530  CSP-i/C  NULL    73046.      740.06      15.341   0.011
OBS: 57157.530  CSP-i/C  NULL    63037.      754.77      15.501   0.013
OBS: 57159.540  CSP-i/C  NULL    60255.      554.97      15.550   0.010
OBS: 57161.560  CSP-i/C  NULL    56389.      519.36      15.622   0.010
OBS: 57163.530  CSP-i/C  NULL    53161.      391.71      15.686   0.008
OBS: 57176.450  CSP-i/C  NULL    35481.      424.83      16.125   0.013
OBS: 57178.460  CSP-i/C  NULL    31710.      321.26      16.247   0.011
OBS: 57180.480  CSP-i/C  NULL    31045.      314.53      16.270   0.011
OBS: 57182.470  CSP-i/C  NULL    28313.      391.17      16.370   0.015
OBS: 57092.550  CSP-r/L  NULL    33174.      305.54      16.198   0.010
OBS: 57093.560  CSP-r/L  NULL    54600.      352.02      15.657   0.007
OBS: 57094.530  CSP-r/L  NULL    82565.      608.36      15.208   0.008
