SNID: 2015F
SURVEY: UVEXT
SNTYPE: 1
IAUC: 2015F
FILTERS: ugriBomn
RA:   114.065670 deg
DECL:   -69.506390 deg 
RA_HOST:   114.099330
DEC_HOST:   -69.530830
REDSHIFT_HELIO: 0.00489 +- 1.8e-05 
REDSHIFT_CMB: 0.005286 +- 1.8e-05 
VPEC: 80.5777 +- 250.0

MWEBV: 0.174900  MW E(B-V)
SEARCH_PEAKMJD: 57105.1
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  294
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 57126.570  CSP-B/u  NULL    77983.0111      502.7728      15.270   0.007
OBS: 57127.490  CSP-B/u  NULL    71318.1387      525.4892      15.367   0.008
OBS: 57129.570  CSP-B/u  NULL    60367.0565      555.9987      15.548   0.010
OBS: 57130.600  CSP-B/u  NULL    55309.5341      560.3591      15.643   0.011
OBS: 57131.610  CSP-B/u  NULL    51951.7283      478.4910      15.711   0.010
OBS: 57134.520  CSP-B/u  NULL    41648.5609      306.8766      15.951   0.008
OBS: 57135.520  CSP-B/u  NULL    39048.1084      395.6093      16.021   0.011
OBS: 57136.510  CSP-B/u  NULL    37051.0056      307.1258      16.078   0.009
OBS: 57137.510  CSP-B/u  NULL    34994.5167      290.0790      16.140   0.009
OBS: 57138.560  CSP-B/u  NULL    33235.3304      275.4966      16.196   0.009
OBS: 57139.510  CSP-B/u  NULL    31710.2744      262.8550      16.247   0.009
OBS: 57141.550  CSP-B/u  NULL    29053.6031      294.3516      16.342   0.011
OBS: 57143.560  CSP-B/u  NULL    27039.5836      249.0427      16.420   0.010
OBS: 57146.590  CSP-B/u  NULL    25095.7396      277.3671      16.501   0.012
OBS: 57148.550  CSP-B/u  NULL    24254.9286      245.7347      16.538   0.011
OBS: 57152.560  CSP-B/u  NULL    22284.3515      348.9175      16.630   0.017
OBS: 57154.520  CSP-B/u  NULL    21577.4441      198.7347      16.665   0.010
OBS: 57157.540  CSP-B/u  NULL    20530.5224      170.1830      16.719   0.009
OBS: 57159.540  CSP-B/u  NULL    19733.3128      181.7497      16.762   0.010
OBS: 57161.570  CSP-B/u  NULL    18984.5366      209.8239      16.804   0.012
OBS: 57163.530  CSP-B/u  NULL    18535.3162      170.7158      16.830   0.010
OBS: 57176.440  CSP-B/u  NULL    15761.5890      377.4393      17.006   0.026
OBS: 57178.460  CSP-B/u  NULL    15079.9534      194.4473      17.054   0.014
OBS: 57180.470  CSP-B/u  NULL    15024.4990      207.5702      17.058   0.015
OBS: 57182.470  CSP-B/u  NULL    14454.3977      199.6940      17.100   0.015
OBS: 57249.910  CSP-B/u  NULL    5525.8616      147.5950      18.144   0.029
OBS: 57092.560  CSP-g/A  NULL    21458.5316      177.8756      16.671   0.009
OBS: 57093.560  CSP-g/A  NULL    38940.3634      251.0567      16.024   0.007
OBS: 57094.530  CSP-g/A  NULL    62459.7153      460.2182      15.511   0.008
OBS: 57095.580  CSP-g/A  NULL    94885.5327      786.5318      15.057   0.009
OBS: 57096.530  CSP-g/A  NULL   128469.4900  1064.9183      14.728   0.009
OBS: 57097.600  CSP-g/A  NULL   176035.3954  1134.9372      14.386   0.007
OBS: 57098.560  CSP-g/A  NULL   215377.3356  1388.5829      14.167   0.007
OBS: 57100.560  CSP-g/A  NULL   301717.1523  1389.4527      13.801   0.005
OBS: 57101.540  CSP-g/A  NULL   349301.1376  1608.5841      13.642   0.005
OBS: 57102.540  CSP-g/A  NULL   378094.1867  1741.1804      13.556   0.005
OBS: 57103.660  CSP-g/A  NULL   417637.9930  1923.2856      13.448   0.005
OBS: 57104.570  CSP-g/A  NULL   425402.4629  3134.4674      13.428   0.008
OBS: 57111.530  CSP-g/A  NULL   419952.3347  3867.8870      13.442   0.010
OBS: 57112.520  CSP-g/A  NULL   406256.1982  1870.8707      13.478   0.005
OBS: 57113.480  CSP-g/A  NULL   383001.0812  1763.7774      13.542   0.005
OBS: 57117.490  CSP-g/A  NULL   293764.9652  1623.3981      13.830   0.006
OBS: 57119.480  CSP-g/A  NULL   245019.1337  1354.0198      14.027   0.006
OBS: 57120.490  CSP-g/A  NULL   221003.9317  1221.3075      14.139   0.006
OBS: 57121.500  CSP-g/A  NULL   201929.6070  1115.8994      14.237   0.006
OBS: 57122.490  CSP-g/A  NULL   180800.6552  1332.1826      14.357   0.008
OBS: 57123.510  CSP-g/A  NULL   163380.4169  1203.8261      14.467   0.008
OBS: 57125.550  CSP-g/A  NULL   136521.1695  628.7005      14.662   0.005
OBS: 57126.570  CSP-g/A  NULL   124623.5160  573.9100      14.761   0.005
OBS: 57127.480  CSP-g/A  NULL   113344.3823  521.9679      14.864   0.005
OBS: 57129.570  CSP-g/A  NULL    95851.7398      529.6940      15.046   0.006
OBS: 57130.590  CSP-g/A  NULL    86218.4081      635.2779      15.161   0.008
OBS: 57131.600  CSP-g/A  NULL    80984.1447      522.1218      15.229   0.007
OBS: 57134.510  CSP-g/A  NULL    65887.0404      424.7876      15.453   0.007
OBS: 57135.510  CSP-g/A  NULL    60813.5001      560.1106      15.540   0.010
OBS: 57136.510  CSP-g/A  NULL    57385.2133      369.9745      15.603   0.007
OBS: 57137.510  CSP-g/A  NULL    54250.0322      399.7273      15.664   0.008
OBS: 57138.550  CSP-g/A  NULL    51570.3406      237.4892      15.719   0.005
OBS: 57139.510  CSP-g/A  NULL    48887.7444      315.1896      15.777   0.007
