VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59291.232 ZTF-r 415 105779.1322 292.2773 14.939 0.003 0x00
OBS: 59293.150 ZTF-g 415 93669.8878 345.0911 15.071 0.004 0x00
OBS: 59293.210 ZTF-r 415 88879.1720 327.4415 15.128 0.004 0x00
OBS: 59293.300 PS1-z NULL 52917.5830 438.6481 15.691 0.009 0x00
OBS: 59295.290 PS1-g NULL 83023.3016 305.8678 15.202 0.004 0x00
OBS: 59295.290 PS1-i NULL 41686.9383 345.5543 15.950 0.009 0x00
OBS: 59296.212 ZTF-r 415 67546.0567 373.2717 15.426 0.006 0x00
OBS: 59296.289 ZTF-g 415 71121.3514 458.5343 15.370 0.007 0x00
OBS: 59298.292 ZTF-r 415 62402.2142 1666.7550 15.512 0.029 0x00
OBS: 59302.151 ZTF-g 415 49567.8407 319.5743 15.762 0.007 0x00
OBS: 59302.243 ZTF-r 415 59429.2159 328.4165 15.565 0.006 0x00
OBS: 59304.151 ZTF-r 415 57174.1873 263.2957 15.607 0.005 0x00
OBS: 59304.329 ZTF-g 415 37393.8344 413.2901 16.068 0.012 0x00
OBS: 59305.240 PS1-i NULL 39120.1039 252.2155 16.019 0.007 0x00
OBS: 59305.250 PS1-r NULL 59979.1076 220.9702 15.555 0.004 0x00
OBS: 59306.340 PS1-r NULL 58884.3655 325.4056 15.575 0.006 0x00
OBS: 59306.340 PS1-z NULL 44791.9531 330.0379 15.872 0.008 0x00
OBS: 59307.153 ZTF-g 415 33759.8105 186.5628 16.179 0.006 0x00
OBS: 59307.212 ZTF-r 415 58775.9964 270.6723 15.577 0.005 0x00
OBS: 59309.168 ZTF-g 415 28575.9054 236.8734 16.360 0.009 0x00
OBS: 59309.214 ZTF-r 415 56754.4605 261.3628 15.615 0.005 0x00
OBS: 59311.191 ZTF-g 415 24322.0401 224.0133 16.535 0.010 0x00
OBS: 59312.240 PS1-g NULL 23334.5806 214.9185 16.580 0.010 0x00
OBS: 59312.250 PS1-i NULL 46216.8136 255.4024 15.838 0.006 0x00
OBS: 59313.155 ZTF-g 415 20304.8600 168.3125 16.731 0.009 0x00
OBS: 59315.156 ZTF-r 415 48573.5673 223.6886 15.784 0.005 0x00
OBS: 59315.190 ZTF-g 415 17980.4270 149.0446 16.863 0.009 0x00
OBS: 59315.250 PS1-r NULL 46687.4334 215.0026 15.827 0.005 0x00
OBS: 59315.250 PS1-g NULL 18416.1990 186.5806 16.837 0.011 0x00
OBS: 59317.156 ZTF-r 415 41571.9121 191.4449 15.953 0.005 0x00
OBS: 59317.170 ZTF-g 415 15289.7365 126.7408 17.039 0.009 0x00
OBS: 59318.310 PS1-g NULL 15588.3447 129.2160 17.018 0.009 0x00
OBS: 59318.310 PS1-i NULL 36982.8180 170.3114 16.080 0.005 0x00
OBS: 59321.190 ZTF-r 415 32121.8093 207.0961 16.233 0.007 0x00
OBS: 59322.250 PS1-g NULL 13353.6503 147.5894 17.186 0.012 0x00
OBS: 59322.250 PS1-i NULL 29675.6336 163.9929 16.319 0.006 0x00
OBS: 59323.160 ZTF-g 415 11738.1593 162.1680 17.326 0.015 0x00
OBS: 59323.208 ZTF-r 415 28973.4359 213.4832 16.345 0.008 0x00
OBS: 59325.192 ZTF-g 415 11066.2378 193.6544 17.390 0.019 0x00
OBS: 59329.174 ZTF-g 415 9332.5430 283.6532 17.575 0.033 0x00
OBS: 59329.212 ZTF-r 415 22222.8625 286.5509 16.633 0.014 0x00
OBS: 59335.176 ZTF-r 415 18897.3105 191.4549 16.809 0.011 0x00
OBS: 59335.215 ZTF-g 415 9462.3716 191.7328 17.560 0.022 0x00
OBS: 59338.167 ZTF-r 415 17250.4330 174.7698 16.908 0.011 0x00
OBS: 59340.171 ZTF-g 415 8701.6177 152.2746 17.651 0.019 0x00
