SNID: 2023gft
# CREATED_DATE: 2023-04-20T10:56:12.704Z
# MODIFIED_DATE: 2023-11-25T05:01:47.306Z
# STATUS: Following
# OBS_GROUP: PSST
# NON_DETECT_BAND: ACAM1 - cyan
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: PSO J212600.455-034820.602; (21:26:00.46, -03:48:20.87)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: UVEXT
# NAME: 2023gft
# RA: 321.5055315240771
# DEC: -3.798211389975169
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2023-06-17T00:00:00Z
# REDSHIFT: 0.0098
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2023-04-17T10:00:46Z
# NON_DETECT_LIMIT: 18.85
# MW_EBV: 0.053
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: PS23eja/60112/1212601320034753600_60112.591_127175688_24_target.jpeg
# POSTAGE_STAMP_REF: PS23eja/60112/1212601320034753600_60112.591_127175688_24_ref.jpeg
# POSTAGE_STAMP_DIFF: PS23eja/60112/1212601320034753600_60112.591_127175688_24_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_target.fits
# POSTAGE_STAMP_REF_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_ref.fits
# POSTAGE_STAMP_DIFF_FITS: PS23eja/60112/1212601320034753600_60112.591_127175688_24_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: GOOD
# SLUG: 2023gft
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [30, 32, 90]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      60127.979  ATLAS-orange/o  20950.7705  501.7035  16.697  0.026  None  ATLAS  HKO  None
OBS:      60128.008  ATLAS-orange/o  21777.0977  822.3518  16.655  0.041  None  ATLAS  HKO  Bad
OBS:      60129.220  ATLAS-orange/o  21183.6114  799.9404  16.685  0.041  None  ATLAS  HKO  None
OBS:      60137.132  ATLAS-orange/o  15790.6497  261.7859  17.004  0.018  None  ATLAS  HKO  None
OBS:      60138.309  ATLAS-orange/o  15473.9076  256.5348  17.026  0.018  None  ATLAS  HKO  None
OBS:      60140.150  ATLAS-cyan/c  13803.8426  203.4201  17.150  0.016  None  ATLAS  HKO  None
OBS:      60143.029  ATLAS-cyan/c  13829.2937  191.0579  17.148  0.015  None  ATLAS  HKO  None
OBS:      60153.222  ATLAS-orange/o  10587.6603  273.0435  17.438  0.028  None  ATLAS  HKO  None
OBS:      60161.027  ATLAS-orange/o  8173.3482  572.1203  17.719  0.076  None  ATLAS  HKO  None
OBS:      60167.039  ATLAS-orange/o  6426.8772  284.1286  17.980  0.048  None  ATLAS  HKO  None
OBS:      60168.229  ATLAS-cyan/c  7987.3001  191.2701  17.744  0.026  None  ATLAS  HKO  None
OBS:      60168.966  ATLAS-orange/o  6504.2916  203.6820  17.967  0.034  None  ATLAS  HKO  None
OBS:      60169.005  ATLAS-orange/o  6143.2756  356.4629  18.029  0.063  None  ATLAS  HKO  Bad
OBS:      60169.304  ATLAS-cyan/c  8356.0302  192.4039  17.695  0.025  None  ATLAS  HKO  None
OBS:      60169.918  ATLAS-orange/o  6148.9364  186.8907  18.028  0.033  None  ATLAS  HKO  None
OBS:      60171.244  ATLAS-cyan/c  7726.8059  213.4986  17.780  0.030  None  ATLAS  HKO  None
OBS:      60065.443  ZTF-g  178484.2916  657.5575  14.371  0.004  None  P48  ZTF-Cam  None
OBS:      60073.424  ZTF-g  189845.3657  874.2664  14.304  0.005  None  P48  ZTF-Cam  None
OBS:      60077.424  ZTF-g  159808.5459  4268.4655  14.491  0.029  None  P48  ZTF-Cam  None
OBS:      60077.439  ZTF-r  147638.6278  2855.5717  14.577  0.021  None  P48  ZTF-Cam  None
OBS:      60079.431  ZTF-r  131825.6739  5827.9392  14.700  0.048  None  P48  ZTF-Cam  None
OBS:      60085.385  ZTF-g  90281.7565  2078.8052  15.111  0.025  None  P48  ZTF-Cam  None
OBS:      60085.459  ZTF-r  94275.7509  2344.4315  15.064  0.027  None  P48  ZTF-Cam  None
OBS:      60090.460  ZTF-r  89536.4766  1401.9183  15.120  0.017  None  P48  ZTF-Cam  None
